,sex
GTEX-YFCO-0326-SM-4W1ZP,1
GTEX-WL46-0011-R5A-SM-3LK6V,1
GTEX-PX3G-1826-SM-2S1PK,0
GTEX-OHPK-0426-SM-3MJH3,0
GTEX-1211K-0626-SM-5FQUZ,0
GTEX-13NYC-0126-SM-5L3F4,1
GTEX-11NSD-0926-SM-5N9DR,1
GTEX-13FH7-1726-SM-5IJE7,0
GTEX-13U4I-0626-SM-5LU5L,0
GTEX-ZPU1-0826-SM-57WG2,1
GTEX-139D8-0726-SM-5P9GJ,0
GTEX-WYBS-1126-SM-3NMAM,0
GTEX-13S86-0826-SM-5SI6J,1
GTEX-N7MT-0011-R4a-SM-2I3G9,0
GTEX-UJMC-2026-SM-3GADR,1
GTEX-ZGAY-0526-SM-4WWBB,0
GTEX-14AS3-0426-SM-5QGQK,0
GTEX-13X6I-1026-SM-5LU4C,1
GTEX-11DXW-1226-SM-5H133,1
GTEX-12584-0126-SM-5EGKQ,1
GTEX-RU72-0011-R11A-SM-5SI8G,0
GTEX-UPIC-0005-SM-3GACV,0
GTEX-ZTX8-1626-SM-51MRY,1
GTEX-ZV68-0011-R7a-SM-51MT4,0
GTEX-X3Y1-2026-SM-3P5YM,1
GTEX-ZZPU-0226-SM-5N9BV,0
GTEX-12KS4-2326-SM-5EGJB,1
GTEX-Y111-2726-SM-4TT3N,1
GTEX-U4B1-0526-SM-4DXTK,1
GTEX-Q2AI-1126-SM-48U19,1
GTEX-P4PP-2026-SM-3P61N,0
GTEX-U412-0326-SM-5BC7E,1
GTEX-XBEC-0426-SM-4QART,1
GTEX-S3XE-1226-SM-4AD4L,1
GTEX-QDVJ-0426-SM-2I5FW,1
GTEX-13NZB-2126-SM-5MR4Y,1
GTEX-ZP4G-1226-SM-4WWCJ,0
GTEX-N7MS-0011-R3a-SM-33HC6,1
GTEX-147F4-0126-SM-5QGPV,1
GTEX-ZDXO-1426-SM-4WKHG,1
GTEX-ZVT3-2126-SM-59HL2,0
GTEX-YB5E-1726-SM-5IFJ3,1
GTEX-P78B-0226-SM-3NB1Z,0
GTEX-YEC3-0726-SM-5IFIW,1
GTEX-Y5V5-0826-SM-4VBQD,0
GTEX-WZTO-0826-SM-3NM8Q,1
GTEX-T5JC-0626-SM-3NMA6,1
GTEX-13O61-1426-SM-5KM3D,1
GTEX-T5JC-0011-R5A-SM-32PLK,1
GTEX-T5JC-0326-SM-4DM5C,1
GTEX-WI4N-2026-SM-4OOS7,0
GTEX-XYKS-2726-SM-4E3IC,0
GTEX-Y5V6-1926-SM-5IFIL,1
