,tissue
GTEX-PWOO-1726-SM-48TDC,OVARY
GTEX-11OF3-0011-R8b-SM-57WCS,BRAIN
GTEX-146FQ-1026-SM-5LU8I,ESOPHAGUS
GTEX-13CF3-1026-SM-5LZWY,PANCREAS
GTEX-XMD1-0011-R5A-SM-4AT47,BRAIN
GTEX-OIZG-0926-SM-3LK5Y,ESOPHAGUS
GTEX-XPVG-1326-SM-4B65P,ESOPHAGUS
GTEX-12ZZY-0826-SM-5EQMT,THYROID
GTEX-144GN-0826-SM-5LU5G,PANCREAS
GTEX-11GSP-0011-R6b-SM-57WBQ,BRAIN
GTEX-13D11-2126-SM-5IFH2,STOMACH
GTEX-SIU7-1626-SM-4BRUK,BREAST
GTEX-WFG7-0326-SM-5SI7L,THYROID
GTEX-WXYG-1126-SM-4ONCH,ESOPHAGUS
GTEX-X585-0011-R4B-SM-46MVH,BRAIN
GTEX-PLZ6-0826-SM-3P61K,STOMACH
GTEX-145LU-0426-SM-5O9AH,THYROID
GTEX-QLQ7-0008-SM-447AW,SKIN
GTEX-ZV68-0126-SM-59HKS,SKIN
GTEX-WHSB-0326-SM-5GICB,LUNG
GTEX-13PL7-2226-SM-5L3IC,PANCREAS
GTEX-XXEK-1326-SM-4BRV1,THYROID
GTEX-ZUA1-1226-SM-5NQ6O,ESOPHAGUS
GTEX-145MH-0011-R6a-SM-5PNZ7,BRAIN
GTEX-1339X-1426-SM-5K7YO,STOMACH
GTEX-XMD1-0011-R6A-SM-4AT5K,BRAIN
GTEX-12ZZY-0011-R5a-SM-5EGL9,BRAIN
GTEX-11P82-0226-SM-5HL4O,THYROID
GTEX-P4PQ-2626-SM-33HC9,THYROID
GTEX-S7SF-1626-SM-3K2AY,SKIN
GTEX-XV7Q-0008-SM-4BRWL,SKIN
GTEX-11TT1-0426-SM-5EGI9,ESOPHAGUS
GTEX-QEG4-0726-SM-4R1JL,ESOPHAGUS
GTEX-144GM-0426-SM-5Q5C8,TESTIS
GTEX-12WSA-0011-R10b-SM-5P9ET,BRAIN
GTEX-ZPIC-0626-SM-57WDY,LUNG
GTEX-WFG7-1226-SM-4LMK2,ESOPHAGUS
GTEX-PLZ4-0726-SM-2TC6Q,LUNG
GTEX-P4QT-2626-SM-2I3FM,THYROID
GTEX-X4XX-0011-R3B-SM-46MWK,BRAIN
GTEX-ZT9W-2026-SM-51MRA,BREAST
GTEX-11OC5-0726-SM-5P9JK,BRAIN
GTEX-ZPCL-1126-SM-4WWFE,SKIN
GTEX-NL4W-0011-R11A-SM-2I3DW,BRAIN
GTEX-TKQ1-0426-SM-4DXT4,ESOPHAGUS
GTEX-RWSA-0126-SM-2XCBB,SKIN
GTEX-13FHP-1526-SM-5IJGE,ESOPHAGUS
K-562-SM-33HC7,BONE MARROW
GTEX-13X6I-0011-R1b-SM-5PNZC,BRAIN
GTEX-12126-0011-R10b-SM-5BC6T,BRAIN
GTEX-WHWD-0926-SM-4OORY,ESOPHAGUS
GTEX-T5JC-1826-SM-4DM6E,ESOPHAGUS
GTEX-13NYB-0011-R6b-SM-5MR51,BRAIN
GTEX-145LS-0011-R8b-SM-5PNXA,BRAIN
