run_accession,sample_type
SRR896743,TISSUE
SRR896744,TISSUE
SRR896745,TISSUE
SRR896746,TISSUE
SRR896747,TISSUE
SRR896748,TISSUE
SRR896749,TISSUE
SRR896750,TISSUE
SRR896751,TISSUE
SRR896752,TISSUE
SRR896753,TISSUE
SRR896754,TISSUE
SRR896755,TISSUE
SRR896756,TISSUE
SRR896757,TISSUE
SRR896758,TISSUE
SRR896759,TISSUE
SRR896760,TISSUE
SRR896761,TISSUE
SRR896762,TISSUE
SRR896763,TISSUE
SRR896764,TISSUE
SRR896765,TISSUE
SRR896766,TISSUE
SRR896767,TISSUE
SRR896768,TISSUE
SRR896769,TISSUE
SRR896770,TISSUE
SRR896771,TISSUE
SRR896772,TISSUE
SRR896773,TISSUE
SRR896774,TISSUE
SRR896775,TISSUE
SRR896776,TISSUE
SRR896777,TISSUE
SRR896778,TISSUE
SRR896779,TISSUE
SRR896780,TISSUE
SRR896781,TISSUE
SRR896782,TISSUE
SRR896783,TISSUE
SRR896784,TISSUE
SRR896785,TISSUE
SRR896786,TISSUE
SRR896787,TISSUE
SRR896788,TISSUE
SRR896789,TISSUE
SRR896790,TISSUE
SRR896791,TISSUE
SRR896792,TISSUE
SRR896793,TISSUE
SRR896794,TISSUE
SRR896795,TISSUE
SRR896796,TISSUE
SRR896797,TISSUE
SRR896798,TISSUE
SRR896799,TISSUE
SRR896800,TISSUE
SRR896801,TISSUE
SRR896802,TISSUE
SRR896803,TISSUE
SRR896804,TISSUE
SRR896806,TISSUE
SRR896805,TISSUE
SRR896807,TISSUE
SRR896808,TISSUE
SRR896809,TISSUE
SRR896810,TISSUE
SRR896811,TISSUE
SRR896812,TISSUE
SRR896813,TISSUE
SRR896814,TISSUE
SRR896815,TISSUE
SRR896816,TISSUE
SRR896817,TISSUE
SRR896818,TISSUE
SRR896819,TISSUE
SRR896820,TISSUE
SRR896821,TISSUE
SRR896822,TISSUE
SRR897122,TISSUE
SRR897123,TISSUE
SRR897124,TISSUE
SRR897125,TISSUE
SRR897126,TISSUE
SRR897127,TISSUE
SRR897128,TISSUE
SRR897129,TISSUE
SRR897130,TISSUE
SRR897131,TISSUE
SRR897132,TISSUE
SRR897133,TISSUE
SRR897134,TISSUE
SRR897135,TISSUE
SRR897136,TISSUE
SRR897137,TISSUE
SRR897138,TISSUE
SRR897139,TISSUE
SRR897140,TISSUE
SRR897141,TISSUE
SRR897142,TISSUE
SRR897143,TISSUE
SRR897144,TISSUE
SRR897145,TISSUE
SRR897146,TISSUE
SRR897147,TISSUE
SRR897148,TISSUE
SRR897149,TISSUE
SRR897150,TISSUE
SRR897151,TISSUE
SRR897153,TISSUE
SRR897152,TISSUE
SRR897154,TISSUE
SRR897155,TISSUE
SRR897156,TISSUE
SRR897157,TISSUE
SRR897158,TISSUE
SRR897159,TISSUE
SRR897160,TISSUE
SRR897161,TISSUE
SRR897162,TISSUE
SRR897163,TISSUE
SRR897164,TISSUE
SRR897165,TISSUE
SRR897166,TISSUE
SRR897167,TISSUE
SRR897168,TISSUE
SRR897169,TISSUE
SRR897170,TISSUE
SRR897171,TISSUE
SRR897172,TISSUE
SRR897173,TISSUE
SRR897174,TISSUE
SRR897175,TISSUE
SRR897176,TISSUE
SRR897177,TISSUE
SRR897178,TISSUE
SRR897179,TISSUE
SRR897180,TISSUE
SRR897181,TISSUE
SRR897182,TISSUE
SRR897183,TISSUE
SRR897185,TISSUE
SRR897186,TISSUE
SRR897187,TISSUE
SRR897188,TISSUE
SRR897189,TISSUE
SRR897190,TISSUE
SRR897191,TISSUE
SRR897192,TISSUE
SRR897193,TISSUE
SRR897194,TISSUE
SRR897195,TISSUE
SRR897196,TISSUE
SRR897487,TISSUE
SRR897488,TISSUE
SRR897489,TISSUE
SRR897490,TISSUE
SRR897491,TISSUE
SRR897492,TISSUE
SRR897493,TISSUE
SRR897494,TISSUE
SRR897495,TISSUE
SRR897496,TISSUE
SRR897497,TISSUE
SRR897499,TISSUE
SRR897498,TISSUE
SRR897500,TISSUE
SRR897501,TISSUE
SRR897502,TISSUE
SRR897503,TISSUE
SRR897504,TISSUE
SRR897505,TISSUE
SRR897507,TISSUE
SRR897508,TISSUE
SRR897509,TISSUE
SRR897510,TISSUE
SRR897511,TISSUE
SRR897512,TISSUE
SRR897513,TISSUE
SRR897514,TISSUE
SRR897515,TISSUE
SRR897516,TISSUE
SRR897517,TISSUE
SRR897518,TISSUE
SRR897519,TISSUE
SRR897520,TISSUE
SRR897521,TISSUE
SRR897522,TISSUE
SRR897523,TISSUE
SRR897524,TISSUE
SRR897525,TISSUE
SRR897526,TISSUE
SRR897527,TISSUE
SRR897528,TISSUE
SRR897529,TISSUE
SRR897530,TISSUE
SRR897531,TISSUE
SRR897532,TISSUE
SRR897533,TISSUE
SRR897534,TISSUE
SRR897535,TISSUE
SRR897536,TISSUE
SRR897537,TISSUE
SRR897538,TISSUE
SRR897539,TISSUE
SRR897541,TISSUE
SRR897540,TISSUE
SRR897542,TISSUE
SRR897543,TISSUE
SRR897544,TISSUE
SRR897545,TISSUE
SRR897546,TISSUE
SRR897547,TISSUE
SRR897548,TISSUE
SRR897549,TISSUE
SRR897550,TISSUE
SRR897551,TISSUE
SRR897552,TISSUE
SRR897553,TISSUE
