,sex
F93370EF-7C80-4947-B9DA-CDEBE28B174E,1
40855647-E942-4F32-90B7-BEB921929BFB,0
CE0A9EA6-2ACE-4F6B-AE39-B9D8BBE50922,1
B94C7697-E602-4888-BDC9-481630753798,0
0B400F91-2355-43AB-AA86-725C21352AB7,1
3EC982CB-D013-443E-B21D-39DE6B8EF370,1
5037DC80-5E81-4281-89A0-E0B58071B1D9,0
62B120E7-E585-46C5-BED3-DBFB17C489A9,1
DCD49265-D7BB-482F-B1DA-D5D4098E9F1A,0
DE716AF0-930E-4747-B7FE-4AFAA45212DC,1
0FEB903F-6DED-410E-8409-5B47D306D4BB,1
AE8B7695-DCB0-4E06-B407-FA4AF143B6F5,0
090923E5-DC40-4C4D-AE14-B5EE55A4DE28,1
B387E79E-742F-418B-8AAB-0C721218A7D2,1
A77A61DF-6CFE-49EB-951E-B9E1D0E889CE,0
BCD7E0C1-044E-4459-AE7F-5DA308EFE002,0
BA66828A-AADE-4F85-B297-8BE56D8D6E38,0
66E8F1F3-620D-4B70-A2E5-26606CB1E5F9,1
7656DA98-76DC-424B-B02C-D7001DAAA0E4,1
C269539F-FDAD-49BD-AB16-C3B7C66E4662,0
1C77DE54-20AA-48FA-9681-BDEE0E339597,1
B30AD4DD-0509-45A5-9A77-D295ADA9F7B9,1
B6752B47-317E-4C9A-8BAE-E265FFC8E755,0
FE8652A7-7AF4-4AE9-ADBE-229F6E6278BE,0
B8E6B405-7D74-4FB8-BE43-73AF4ABE105B,0
906CBD77-BD00-4199-B56C-E525C9509442,0
D68CC3BD-04A4-4B91-B9BF-B40A68F460B4,0
55540AE6-B3BF-4128-A44C-5A0AA7635664,1
ECC40A03-488E-4076-8A3A-234D968623AD,0
B99430AD-6309-4B90-A0AA-A5B2FA746246,1
64C8257C-3BA4-4B06-9313-501AF47D45C1,0
5A0D2277-C465-4DA1-8D0B-19C36366B85C,1
5B898D55-86E1-4201-B716-E1C4AFB4DD3F,1
045CFFE6-4736-42F2-9340-C37690E47882,0
FFECD0E9-70C2-44BD-B0B4-E8C4B60B793A,1
EEDCFE8A-83E5-46AA-B68B-3FB583AD7773,1
06AEB932-C26F-40E0-BC3F-EEB16CBA854F,1
4FFA9B06-04F7-4DF1-A1EA-BB544A716AFB,1
D8C1F924-656B-451D-B10A-CF4C54AAE1D3,1
F2B356FA-79CD-4867-8ABF-84C90A493A75,0
9F2D7BD7-6F5D-4DE9-8D9D-AB0822356FE8,1
0D7A3C83-DF0A-4480-8A77-062E5CDA3869,1
DD5AA3F8-E3EE-4EDD-8152-B1CC07B70A08,0
30237648-5C4F-4EBF-9DBF-8D4D5A781741,0
7CB11B1B-4F20-4EED-818A-0FA701809E55,1
0A64C3A3-16F8-4104-B507-C53BF5C25FA4,1
F6CEF865-AE15-4030-895A-44577AADEE76,1
032E0758-7A5B-405B-88D3-74C527605780,1
62966348-1C16-4A6D-AA82-707B3F759D5C,0
E0B3C5D3-A6B3-4516-97E4-AE8796C8B12F,0
21A31B3E-254C-4311-AF9A-4F500E711729,0
CF96DDD4-DC0A-4341-BDE6-4DA2CB4978D0,1
