bigwig_file,tissue
FE4E7A44-066E-45F8-B13D-3C4A06A1CA06,LUNG
B0B08A2E-2F20-4AE0-BB81-FBC242B5D8CB,STOMACH
C31D4D3E-3178-4238-A3AD-3F47FBAEBCA8,THYROID
C786814F-586B-4D55-852E-3D5C8C3C9F55,LUNG
CFA08182-F204-403A-A5C3-067F099953AB,UTERUS
9820CB66-F911-4649-84C8-523A9C134D9F,KIDNEY
92CEB4B5-0400-45DD-9DEE-E988CB4BB76D,OVARY
FD2F4E8A-F89C-4016-B275-13FC6B4121E9,OVARY
9C070806-49E3-419C-A8BF-8B6DE0A53CAE,THYROID
DFDDBB63-1105-4211-A03A-DF90345A09E6,KIDNEY
5546A779-21DB-49F9-8C0D-A1E420088084,ADRENAL GLAND
F8C777E3-C3E0-41E6-91B6-0BFB90CBC2EF,LIVER
E08A2804-4C5D-4C6F-AEBD-7A3606FCE834,TESTIS
8ECE5276-CD06-496B-A5A9-1713B1F7D089,ESOPHAGUS
C5058B93-C1DA-43B9-9951-B23A9810AA6E,BONE MARROW
27FB653A-9E07-44AD-952E-9E4DE4AB5891,ADRENAL GLAND
B8AED170-C88C-4A86-8377-93B5D14AB334,BRAIN
2874DC37-CDD9-42D2-9EB5-5B0155253318,LUNG
47F50B4A-1646-48CB-867C-0FD49C7D3664,UTERUS
91A65733-AD8D-4021-9FE0-59CE918BC0FD,THYROID
7EB6016C-DF60-4E11-9207-6C4A910548F6,LUNG
726D44D6-0732-44EA-B911-A5A1F0A758CF,LUNG
5E6281D5-BA5B-429D-9B15-2412BF2CAE81,KIDNEY
0D60DE0D-CC42-463B-9BD6-1C11977A2056,UTERUS
6245251C-23BD-409B-BE1A-301C155D1D86,PROSTATE
F850770E-CE4A-43E8-A4FB-154184CA8155,STOMACH
6E930060-502B-49F5-A385-9B91DEBD05E4,UTERUS
812E8E8F-71B2-49DB-AC1F-FA3761CB3BC1,BREAST
BB5A5553-B4F9-4C63-B9B3-22A928250C97,BREAST
55E9BC6F-3123-4444-BC23-33FBA5F84BD7,UTERUS
27496AAB-AC06-4100-BB41-0029F63CC678,SKIN
4F70FC82-A7FC-4589-89A4-9F30D3DBEF7D,PROSTATE
04BAD3D4-22F8-463E-A191-77901EB17F65,BREAST
BC6566D3-39C0-4B49-A4AD-12D337865100,THYROID
BC3405FF-0660-4B2B-8DC1-5F34D3133078,BONE MARROW
D8E31979-B4A1-4799-A6FE-8B2286290F53,KIDNEY
9A3F89C7-9867-4745-B500-2FC7A60A48A5,LUNG
E4FEF37B-21A9-407C-B76C-B01FFBFB8A9E,PANCREAS
2EFA429F-109D-4C0A-A40A-470412A5E86B,LIVER
2F42C2AD-BDA3-4F1A-B8E5-2D15DF2A2DD9,BREAST
C75BBADD-062C-4FDA-A1B1-C3C5C63EA95D,TESTIS
10AD6BD1-FDB7-4C49-821E-C03B946FF92D,THYROID
56DB9804-9CDA-42D9-8880-78518EA63B4C,LUNG
C713D324-E0EB-4F37-8B80-0674A57344E1,THYROID
3808C3A9-22DA-4DC5-9F51-884A7EF574E6,UTERUS
633560A2-5165-4F8D-B715-85A537C046CE,KIDNEY
AE43FF42-0266-4CD1-8C27-C3A2DB9C4F55,BREAST
50E5597F-CD6F-4816-9E37-A5A651D65E96,OVARY
5F0A2C59-52F3-40AC-AE5D-941D1B53B48F,SKIN
73AA89D1-C166-4C3F-A740-90285B7E7F15,STOMACH
C25E40D9-DADB-452D-9746-CFFD887F1865,SKIN
134E2094-3155-497C-97BB-F1D9EE93B2CC,LIVER
31D370A5-B86A-4874-B80A-29F85E9E3E70,LIVER
821E3D5D-5BAC-415B-B722-AE97A23D142C,LIVER
5191A0A3-29D1-4FA4-AEB3-DEB8648AF9BA,LIVER
39E585E6-19F6-4767-BACF-1E7C73C1A1ED,KIDNEY
3B6CE2E6-9A99-4CD7-9529-AA3AB2B300DD,PANCREAS
6F7E9F0D-164E-4696-A353-18D379AA4EF7,KIDNEY
B0825E4D-C5B6-4548-908D-7892E389DC76,LUNG
805D5473-BF65-4BF0-B5C4-4A0335FA0B92,UTERUS
5FC2DF50-116B-4A7D-BB2C-274990D0AEFC,THYROID
FBD698D2-B7C6-4CB6-8A60-45D89DA8748E,LUNG
26FE9BF9-E609-4974-95B5-F39B1F3AA7C9,THYROID
8631ADA8-2CDA-42F7-927E-76A24EFA128D,BREAST
3E8264FA-EB76-46E8-9601-D627BB28642C,UTERUS
B5E41416-B5D8-4916-BF8C-73EE20B4AF2F,PANCREAS
0AC825A9-EC20-4D3E-9114-4DEAC902DE11,KIDNEY
2ADE9548-ACC7-4193-9949-5C6C465272B2,KIDNEY
F35F85A8-B3CD-4116-990F-94B2E432F902,BRAIN
F0EEF94B-586D-415F-813A-E79579430608,KIDNEY
E6FE4F49-0CB1-4200-9074-501C84C248E8,LUNG
024513A5-FF28-44F9-9683-8A545557A64E,STOMACH
A249A67A-FB03-465A-B4E6-385DB036CEEA,LUNG
2CDF0E6A-B2D3-491E-B5BD-7A3121AF676D,BREAST
5929BC6C-3B2E-48AF-B129-EF6B556B0938,SKIN
FB2693AA-9C03-4F7B-83ED-66CFA79025A6,LUNG
2BA5B847-887F-415A-A7F3-94E6EA4D3800,BREAST
8E56D859-7862-4CD3-A86C-8780C6387420,UTERUS
80E4C1BE-AEA3-420B-B5D4-87C344625A16,KIDNEY
658F68D0-AE74-4D23-9A8C-146E9A53FC77,BREAST
63A883F6-96DD-4565-B176-D5A35D3820D1,LIVER
B570A72F-5E6C-4301-923B-9992662409CA,BREAST
19593225-5423-4C65-8440-7BE7E3FB5353,BREAST
CDAE5912-5C56-47B3-A0E6-E61B1E880BFD,UTERUS
2A54226F-50A1-466D-859A-6C64575FC0A7,BREAST
5A555AC7-5872-4892-9DA4-55770B6134BA,LUNG
CC211FB2-6FE7-4FE5-A571-0715C7E5395E,UTERUS
4674A803-3BFE-4349-B3D1-19EABC78FF59,LIVER
951D0A4E-4080-4898-8A8F-AFA74F2961AF,LUNG
D7A583F5-736C-4461-AE6D-E464763154AE,BREAST
77E137CD-1149-4752-B069-C93F984A431D,THYROID
332A3736-482A-4C6D-829D-4FC7E98DC3A3,STOMACH
9AED3F88-DEAD-41F3-A718-6B54586182A8,PROSTATE
F17C0E73-4C34-4F82-8562-56985A59316C,SKIN
3EA98CF2-F81F-4BBF-9980-851261AC8A10,LUNG
9A28F80A-85F8-40E2-A32B-230EF93B2FA0,ADRENAL GLAND
271F4F6C-198D-4F95-AC7F-C7797A3D374B,THYROID
BA96CB79-F522-45D0-B0BC-E779C88393AE,UTERUS
6A0B7DD3-3AB6-49BB-A468-5C22C786FBF5,STOMACH
1C1609A0-29A8-465A-A4AB-C52A2550811F,THYROID
48A2AAEB-7F60-4284-808E-2058A531B17C,UTERUS
9DE372FA-FA7F-41AB-BE52-B0B7D957CF9D,UTERUS
A9DA8022-CE84-4C1F-A483-C2EF6F085505,BREAST
4807CD62-163A-4B17-9DAF-534723C56A55,KIDNEY
E163CFA5-FD16-4EC1-9F8E-13FAA02C6AD1,STOMACH
9F3CF556-9E7A-4EE4-86C9-5BB453DF86C1,UTERUS
4A9DB4CA-789C-48DC-9735-327E2B4478DE,LUNG
1E09E7AE-B848-4B41-BD70-CA820F1FCA16,SKIN
AEDF36E0-09F9-43A2-8A58-7E2DFC29A681,STOMACH
E2CFC7B2-7C64-4776-BFB8-9682F745078B,BREAST
1D6B448C-1D01-4A8C-8417-B094EC2D562E,BREAST
70F98E26-61C1-4F2E-BC38-CD28F2918E4D,KIDNEY
B2220ACA-6B79-46A1-9868-502A4737A5B1,KIDNEY
0C8678AD-C771-463A-B9BD-27D1F8F7E5FC,LIVER
3F9F0175-699B-402D-9359-EE325E5B82B7,LUNG
95286AA4-B357-41FE-8051-3BD3EBE93885,BRAIN
9723BC03-C568-4F06-8912-484010C196D0,SKIN
B0C3D4F5-D82B-468A-9D62-A9B6CA5533B8,BREAST
E4B33DB3-20C9-4F49-A175-D2374E63FD38,PROSTATE
2CB06CA6-8D1F-4BC7-99BE-66921805B8FD,UTERUS
020803D3-0F68-4B6C-AA71-68A09AFBE1CF,LIVER
D1D4F3A6-12D4-49CC-A193-1E75482D9F85,KIDNEY
4B3B23DA-6F2E-4B0D-A4D8-5B6E75321A9E,LIVER
68A7B049-16A4-4D72-B83E-0F2B79FB4C97,LUNG
021A928D-34D1-4212-A63E-A8A55A68C483,LUNG
42EF1CDA-78DC-4C59-9581-3A8A904F4943,PROSTATE
C04DEDC8-747C-4053-BB23-225C9FD9FC5F,BRAIN
20152BF5-FA56-4B98-8F20-FFEE20F8B1CB,UTERUS
6D378FDE-0785-4EE8-A620-0D4A249A847A,THYROID
64B33223-EB30-49ED-A3D8-5AC598845465,SKIN
D8C2D53C-06F3-4797-85B3-1C6BD091455E,LUNG
2D448C52-038B-4A02-B3FC-8F1A7DB515DE,UTERUS
35092E7D-F14A-4713-AFBB-74719805BA88,SKIN
A21DDF04-BECE-498B-81EA-F6953CD30D82,BRAIN
794326EA-012C-46FA-8E62-C83FE6473EEC,LIVER
06EC98C4-892C-48B3-9421-A24C33C51C70,BREAST
154764CD-AC69-4F48-A212-8B27C076C91A,OVARY
CDC642C3-EA74-4FC1-87CA-2748A039BF97,PROSTATE
26769C35-BD7C-4C66-8ABD-EB8D0D60AE67,PROSTATE
51708DA2-649D-4817-BB26-7FD153C65965,BRAIN
FCD43986-D877-4856-A4E0-F35AF0A5117D,UTERUS
931BA141-E979-447E-B046-1983AAC34281,THYROID
3AB4A5A0-A494-4B88-9834-7A3447F8E536,KIDNEY
032E0758-7A5B-405B-88D3-74C527605780,SKIN
861F09A8-FF2D-4764-8B58-D52548C3361F,KIDNEY
42202AF1-6414-4509-995B-21EDCD2CC2CF,BREAST
F7521DF9-6103-449E-9C4A-A6BF64A12135,PROSTATE
31D88855-E509-48AC-818F-F817EBFB35AB,BREAST
DC3C3FA1-7742-4D50-812C-418B5035E30F,LIVER
D6F69A96-9824-4674-9C32-C2B5FF1F23AE,LUNG
2E1AC099-CE43-4605-BDFD-FA71DE8EAE44,PROSTATE
DAA93CE5-A013-477A-9A50-EA09CC3A8162,ESOPHAGUS
C3916163-FDC5-4048-9AC4-BF3DE91091CE,BREAST
F46019F0-DBF8-44D6-93A6-7BDA7B843135,LUNG
F53EB281-85FB-4EF5-BABA-7885D0670D14,KIDNEY
C89AC4DF-DAF8-482F-BBE2-EA341B66FA0C,LUNG
B308794B-BB34-43C7-AC89-C5230E782F0A,SKIN
7DFBA494-6746-4FF7-9948-FC9BA297F499,OVARY
0CEC1ADC-1E8E-4CAC-8DFD-E1A760064E58,BRAIN
F4BFC324-A340-4CA3-9719-EA049C7315B6,PROSTATE
15480C1E-4D9C-4FF7-B94A-717F19AFA786,UTERUS
4C821AD9-A5C9-4A9A-9C5D-363B227F8064,ADRENAL GLAND
0A69296B-1B68-4F0F-AD75-73A90504DFEB,PROSTATE
CF6AF5E1-ED9C-4CD2-8C29-5D002EF59B7D,BREAST
841E2203-5B7F-4306-BD38-4BD68E79F9C8,UTERUS
B313B59F-B39D-4CCE-A693-820BB0140B4C,PANCREAS
34091E7A-BBEB-4A71-BCEF-9CE85DA47841,OVARY
BBDB5902-5C48-415D-913D-3B9876E49C1F,PANCREAS
9FFB6C8C-FE8D-4BE1-B3C5-56EEE48A8E09,KIDNEY
AC866CA5-8DF7-43DF-BE7F-A68365CCF32E,LUNG
CFD74BF3-B9E4-4E47-871E-7D9D2E07AB42,LUNG
4113BB01-8676-40B1-AD48-D31462D6EA3C,BREAST
C1CAE1C6-E8E0-4721-995A-3DA28F71DE40,STOMACH
71241674-DF93-4CA0-A81D-AF85B6479F62,OVARY
BCF9508C-9600-4CA8-924F-A7BDCF8D3636,PROSTATE
A4FF8ED4-3562-481B-AF9C-17208EBC5390,KIDNEY
D0920958-B342-4844-9FD6-93F3784CF5A4,BREAST
626DB3B6-82EE-4F68-A623-026E7D7273F8,THYROID
32D5801D-DBA4-422E-87CB-A2DDE921BA41,ESOPHAGUS
A7C07081-F6D3-47F0-96DA-D5C6FCE58040,OVARY
1DEA6525-5598-4985-9218-D61912C75437,UTERUS
4A052DF5-38BB-4E2F-87BB-BBDE3C959304,BREAST
42E0E49F-0F6A-4787-87E8-E5CEA94822F9,LUNG
B8B72B5C-536A-40E3-9E7F-95E7629874D3,BRAIN
3CC63F9F-2921-4C86-A9F4-3786C4F24859,SKIN
D4A7D4B9-2E9D-4ED5-886F-664A212C9BE1,LUNG
A866B6BB-C825-4482-BE69-C2C74F0EB23E,THYROID
592CC5DC-4DB7-4961-AB2B-89C8FE4A83D3,BRAIN
