run_accession,CELL LINE,TISSUE,predicted,MetaSRA
SRR3039607,0.001755515,0.9982445,TISSUE,CELL LINE
SRR3039601,0.004937641,0.9950624,TISSUE,CELL LINE
SRR3039600,0.19345428,0.80654573,TISSUE,CELL LINE
SRR3039618,0.05635882,0.9436412,TISSUE,CELL LINE
SRR3039612,0.10408943,0.8959106,TISSUE,CELL LINE
SRR2149951,0.5503358,0.4496642,CELL LINE,TISSUE
SRR363687,0.9060939,0.093906164,CELL LINE,TISSUE
SRR363688,0.98061347,0.019386515,CELL LINE,TISSUE
SRR363699,0.66976124,0.33023876,CELL LINE,TISSUE
SRR1027984,0.64165527,0.35834473,CELL LINE,TISSUE
SRR801693,0.9573111,0.042688925,CELL LINE,TISSUE
SRR801695,0.9266868,0.07331325,CELL LINE,TISSUE
SRR801696,0.93603355,0.06396649,CELL LINE,TISSUE
SRR2392510,0.99967086,0.00032919005,CELL LINE,TISSUE
SRR2392509,0.99966466,0.00033536454,CELL LINE,TISSUE
SRR1777323,1.0,4.2609056e-08,CELL LINE,TISSUE
SRR1777324,1.0,2.0049429e-08,CELL LINE,TISSUE
SRR1777315,0.9999174,8.260855e-05,CELL LINE,TISSUE
SRR1777316,0.999951,4.9049002e-05,CELL LINE,TISSUE
SRR1777317,0.9999535,4.6479672e-05,CELL LINE,TISSUE
SRR1777318,0.9998534,0.00014656258,CELL LINE,TISSUE
SRR1777319,0.99919516,0.00080483645,CELL LINE,TISSUE
SRR1777320,0.99999404,5.9961367e-06,CELL LINE,TISSUE
SRR1777321,0.99981755,0.00018248108,CELL LINE,TISSUE
SRR1777322,0.99981207,0.00018794772,CELL LINE,TISSUE
SRR1924424,0.9998317,0.00016834043,CELL LINE,TISSUE
SRR1924425,0.9995055,0.0004945158,CELL LINE,TISSUE
SRR616069,4.529642e-05,0.9999547,TISSUE,CELL LINE
SRR616072,1.0034342e-06,0.99999905,TISSUE,CELL LINE
SRR616076,2.1080754e-05,0.9999789,TISSUE,CELL LINE
SRR616077,0.0010714348,0.9989286,TISSUE,CELL LINE
SRR616078,3.5298865e-07,0.99999964,TISSUE,CELL LINE
SRR616079,6.2113075e-05,0.9999379,TISSUE,CELL LINE
SRR616080,7.785334e-07,0.99999917,TISSUE,CELL LINE
SRR1910436,0.99999976,2.443927e-07,CELL LINE,TISSUE
SRR1931654,0.99999976,2.3529726e-07,CELL LINE,TISSUE
SRR1931655,0.9999999,1.037674e-07,CELL LINE,TISSUE
SRR1931656,0.9999994,6.32924e-07,CELL LINE,TISSUE
SRR1931661,0.99999917,8.8265506e-07,CELL LINE,TISSUE
SRR1931665,0.9999999,8.356478e-08,CELL LINE,TISSUE
SRR1931667,0.99999726,2.7190854e-06,CELL LINE,TISSUE
SRR1931669,0.9999987,1.2706446e-06,CELL LINE,TISSUE
SRR1931670,0.9999999,9.2495306e-08,CELL LINE,TISSUE
SRR1931671,0.9999981,1.8980606e-06,CELL LINE,TISSUE
SRR1931673,0.99999964,3.8667227e-07,CELL LINE,TISSUE
SRR1931674,0.9999999,1.7366622e-07,CELL LINE,TISSUE
SRR1554240,0.99727947,0.0027206207,CELL LINE,TISSUE
SRR1554241,0.9928847,0.007115295,CELL LINE,TISSUE
SRR1554242,0.9580541,0.04194581,CELL LINE,TISSUE
SRR1554243,0.8224598,0.17754021,CELL LINE,TISSUE
SRR1554244,0.79781455,0.20218548,CELL LINE,TISSUE
SRR1554245,0.59001493,0.40998513,CELL LINE,TISSUE
SRR1554246,0.62928885,0.37071115,CELL LINE,TISSUE
SRR1554247,0.97617847,0.023821564,CELL LINE,TISSUE
SRR1554248,0.9878999,0.012100118,CELL LINE,TISSUE
SRR1554249,0.9813851,0.018614901,CELL LINE,TISSUE
SRR1554250,0.76326907,0.23673096,CELL LINE,TISSUE
SRR1554251,0.7976634,0.20233658,CELL LINE,TISSUE
SRR1422068,0.63573384,0.36426613,CELL LINE,TISSUE
SRR1422069,0.7354051,0.26459488,CELL LINE,TISSUE
SRR1509481,1.0,5.6512246e-08,CELL LINE,TISSUE
SRR1509482,1.0,4.908633e-08,CELL LINE,TISSUE
SRR1509483,0.9999999,6.8613545e-08,CELL LINE,TISSUE
SRR1509484,1.0,4.3234422e-08,CELL LINE,TISSUE
SRR1509485,1.0,2.6238613e-08,CELL LINE,TISSUE
SRR1509486,1.0,4.0592447e-08,CELL LINE,TISSUE
SRR1648445,1.0,1.5140851e-09,CELL LINE,TISSUE
SRR1648447,1.0,9.90848e-10,CELL LINE,TISSUE
SRR1648448,1.0,1.3741744e-09,CELL LINE,TISSUE
SRR1648449,1.0,1.2067103e-09,CELL LINE,TISSUE
SRR1648450,1.0,8.6738217e-10,CELL LINE,TISSUE
SRR1942929,0.99997616,2.3835677e-05,CELL LINE,TISSUE
SRR1942938,0.999933,6.702287e-05,CELL LINE,TISSUE
SRR1942946,0.99999106,8.881809e-06,CELL LINE,TISSUE
SRR1942952,0.999977,2.3002165e-05,CELL LINE,TISSUE
SRR1942956,0.99998295,1.7047656e-05,CELL LINE,TISSUE
SRR1942960,0.9999751,2.4930592e-05,CELL LINE,TISSUE
SRR1942962,0.99999344,6.5916906e-06,CELL LINE,TISSUE
SRR1942983,0.9999907,9.306952e-06,CELL LINE,TISSUE
SRR1942985,0.9999833,1.6648102e-05,CELL LINE,TISSUE
SRR1942989,0.9999924,7.65425e-06,CELL LINE,TISSUE
SRR950078,0.00021510257,0.9997849,TISSUE,CELL LINE
SRR950080,0.00013667878,0.99986327,TISSUE,CELL LINE
SRR950082,0.00012875593,0.99987125,TISSUE,CELL LINE
SRR950084,0.00021214614,0.99978787,TISSUE,CELL LINE
SRR950086,0.00014394258,0.999856,TISSUE,CELL LINE
DRR001625,0.74455374,0.25544623,CELL LINE,TISSUE
SRR546552,0.2706925,0.72930753,TISSUE,CELL LINE
SRR546553,0.49275202,0.507248,TISSUE,CELL LINE
SRR546555,0.28893113,0.7110689,TISSUE,CELL LINE
SRR546556,0.35718304,0.64281696,TISSUE,CELL LINE
SRR546557,0.38016152,0.61983854,TISSUE,CELL LINE
SRR1179855,1.0,1.5720109e-09,CELL LINE,TISSUE
SRR1179856,1.0,5.4415394e-10,CELL LINE,TISSUE
SRR332270,0.5932106,0.40678942,CELL LINE,TISSUE
SRR332271,0.68979096,0.31020904,CELL LINE,TISSUE
ERR792541,0.03994893,0.9600511,TISSUE,CELL LINE
ERR792542,0.21014543,0.7898546,TISSUE,CELL LINE
ERR792540,0.14028645,0.85971355,TISSUE,CELL LINE
ERR792546,0.058182105,0.9418179,TISSUE,CELL LINE
ERR792545,0.10493263,0.89506733,TISSUE,CELL LINE
SRR1561956,0.99458534,0.0054146857,CELL LINE,TISSUE
SRR1561957,0.9876068,0.012393118,CELL LINE,TISSUE
SRR1561958,0.99002576,0.009974291,CELL LINE,TISSUE
SRR1561959,0.99593085,0.00406916,CELL LINE,TISSUE
SRR1561960,0.99568343,0.00431659,CELL LINE,TISSUE
SRR1561961,0.9961259,0.0038740952,CELL LINE,TISSUE
SRR1561962,0.9965025,0.0034975256,CELL LINE,TISSUE
SRR3067478,0.99999285,7.193427e-06,CELL LINE,TISSUE
SRR3067481,0.99996936,3.0601932e-05,CELL LINE,TISSUE
SRR3067477,0.99999404,5.9716895e-06,CELL LINE,TISSUE
SRR3067482,0.9999796,2.0348198e-05,CELL LINE,TISSUE
SRR3067483,0.99998593,1.40420925e-05,CELL LINE,TISSUE
SRR3067480,0.99989045,0.000109484456,CELL LINE,TISSUE
SRR3067479,0.99995196,4.8008653e-05,CELL LINE,TISSUE
ERR453480,0.12616712,0.8738329,TISSUE,CELL LINE
ERR453481,0.14311208,0.85688794,TISSUE,CELL LINE
ERR453483,0.22406067,0.77593935,TISSUE,CELL LINE
ERR453484,0.45980504,0.540195,TISSUE,CELL LINE
ERR453485,0.14826685,0.85173315,TISSUE,CELL LINE
ERR599185,0.41020194,0.58979803,TISSUE,CELL LINE
SRR038997,0.24825521,0.75174487,TISSUE,CELL LINE
SRR038998,0.11265867,0.8873413,TISSUE,CELL LINE
