,ss,ss_confi
SRR1201591,OTHER,0.999997
SRR1201590,OTHER,0.9999954
SRR1201593,OTHER,0.9999978
SRR1201592,OTHER,0.9999995
SRR1201617,OTHER,0.999997
SRR1201616,OTHER,0.9999998
SRR1201619,OTHER,0.99999726
SRR1201618,OTHER,0.9999995
SRR1201620,OTHER,0.9999975
SRR1201621,OTHER,0.99999684
SRR1201623,OTHER,0.99999905
SRR1201622,OTHER,0.99999857
SRR1201624,OTHER,0.9770406
SRR1201625,OTHER,0.9775816
SRR1201626,OTHER,0.5583914
SRR1201627,OTHER,0.8729142
SRR1201628,OTHER,0.99999714
SRR1201629,OTHER,0.99999845
SRR1201630,OTHER,0.9999955
SRR1201631,OTHER,0.9999978
SRR1201641,OTHER,0.999998
SRR1201640,OTHER,0.9999889
SRR1201643,OTHER,0.9999979
SRR1201644,OTHER,0.99999875
SRR1201661,OTHER,0.99999654
SRR1201662,OTHER,0.9999981
SRR1201663,OTHER,0.9999998
SRR1201664,OTHER,0.9999989
SRR1201734,OTHER,0.9999965
SRR1201733,OTHER,0.9999925
SRR1201736,OTHER,0.9999978
SRR1201737,OTHER,0.9999989
SRR1201739,OTHER,0.99999744
SRR1201738,OTHER,0.999997
SRR1201742,OTHER,0.99999154
SRR1201743,OTHER,0.9999979
SRR1201745,OTHER,0.9999981
SRR1201744,OTHER,0.9999987
SRR1201749,OTHER,0.99999905
SRR1201750,OTHER,0.9999984
SRR1201752,OTHER,0.9999989
SRR1201751,OTHER,0.99999684
SRR1201754,OTHER,0.9999975
SRR1201753,OTHER,0.99999636
SRR1201758,OTHER,0.9999913
SRR1201759,OTHER,0.99999905
SRR1201760,OTHER,0.99999875
SRR1201761,OTHER,0.9999981
SRR1201763,OTHER,0.935037
SRR1201762,TISSUE,0.5204121
SRR1201764,OTHER,0.9999736
SRR1202977,OTHER,0.9897316
SRR1202990,OTHER,0.9992115
SRR1202999,OTHER,0.99965936
SRR1203005,OTHER,0.99982786
SRR1203006,OTHER,0.9999094
SRR1203007,OTHER,0.9968659
SRR1203128,OTHER,0.9898542
SRR1203129,OTHER,0.9997133
SRR1203130,OTHER,0.9991334
SRR1203133,OTHER,0.9959985
SRR1203138,OTHER,0.99832094
SRR1203772,OTHER,0.99955434
SRR1203801,OTHER,0.9998075
SRR1203802,OTHER,0.9996277
SRR1203803,OTHER,0.9989656
SRR1203804,OTHER,0.9983843
SRR1203805,OTHER,0.9846594
SRR1203806,OTHER,0.99989927
SRR1203818,OTHER,0.9994124
SRR1203819,OTHER,0.99579734
SRR1203822,OTHER,0.99564344
SRR1203823,OTHER,0.9999919
SRR1203824,OTHER,0.999719
SRR1203825,OTHER,0.99769914
SRR1203834,OTHER,0.99810344
SRR1203835,OTHER,0.9934721
SRR1203836,OTHER,0.9992096
SRR1203837,OTHER,0.99928856
SRR1203838,OTHER,0.9908978
SRR1203839,OTHER,0.9997878
ERR658998,OTHER,0.9999563
ERR659094,OTHER,0.9999417
ERR658999,OTHER,0.9972607
ERR659095,OTHER,0.99711645
ERR659000,OTHER,0.99422824
ERR659096,OTHER,0.995566
ERR659001,OTHER,0.99942476
ERR659097,OTHER,0.99940646
ERR659002,OTHER,0.9956497
ERR659098,OTHER,0.99822676
ERR659003,OTHER,0.9987221
ERR659099,OTHER,0.99787855
ERR659004,OTHER,0.9968546
ERR659100,OTHER,0.9967249
ERR659005,OTHER,0.9997426
ERR659101,OTHER,0.9996519
ERR659006,OTHER,0.99974185
ERR659102,OTHER,0.99986553
ERR659007,OTHER,0.99917156
ERR659103,OTHER,0.9978573
ERR659008,OTHER,0.94187135
ERR659104,OTHER,0.76450247
ERR659009,OTHER,0.99946725
ERR659105,OTHER,0.99950945
ERR659010,OTHER,0.99709684
ERR659106,OTHER,0.9971019
ERR659011,OTHER,0.9991175
ERR659107,OTHER,0.99920547
ERR659012,OTHER,0.99919003
ERR659108,OTHER,0.99915874
ERR659013,OTHER,0.9995408
ERR659109,OTHER,0.99958074
ERR659014,OTHER,0.9066356
ERR659110,OTHER,0.82092315
ERR659015,OTHER,0.9997692
ERR659111,OTHER,0.9997755
ERR659016,OTHER,0.9986903
ERR659112,OTHER,0.9989398
ERR659017,OTHER,0.93959963
ERR659113,OTHER,0.9606085
ERR659018,OTHER,0.99485666
ERR659114,OTHER,0.9952465
ERR659019,OTHER,0.9994895
ERR659115,OTHER,0.9993
ERR659020,OTHER,0.9998835
ERR659116,OTHER,0.99985886
ERR659021,OTHER,0.99871695
ERR659117,OTHER,0.9986849
ERR659022,OTHER,0.99993026
ERR659118,OTHER,0.9999277
ERR659023,OTHER,0.9998541
ERR659119,OTHER,0.99972594
ERR659024,OTHER,0.99986
ERR659120,OTHER,0.999832
ERR659025,OTHER,0.9926896
ERR659121,OTHER,0.9893605
ERR659026,OTHER,0.9829608
ERR659122,OTHER,0.9875615
ERR659027,OTHER,0.9741557
ERR659123,OTHER,0.9697679
ERR659028,OTHER,0.99952334
ERR659124,OTHER,0.9996811
ERR659029,OTHER,0.99986535
ERR659125,OTHER,0.999899
ERR659030,OTHER,0.99948204
ERR659126,OTHER,0.99936056
ERR659031,OTHER,0.9992987
ERR659127,OTHER,0.9985444
ERR659032,OTHER,0.99856454
ERR659128,OTHER,0.9990341
ERR659033,OTHER,0.99997854
ERR659129,OTHER,0.9999858
ERR659034,OTHER,0.7067863
ERR659130,OTHER,0.8681773
ERR659035,OTHER,0.99929523
ERR659131,OTHER,0.999287
ERR659036,OTHER,0.99999064
ERR659132,OTHER,0.9999925
ERR659037,OTHER,0.99965537
ERR659133,OTHER,0.9994954
ERR659038,OTHER,0.9991994
ERR659134,OTHER,0.9993059
ERR659039,OTHER,0.9975521
ERR659135,OTHER,0.99861
ERR659040,OTHER,0.99847156
ERR659136,OTHER,0.99697286
ERR659041,OTHER,0.9983446
ERR659137,OTHER,0.9977542
ERR659042,OTHER,0.998875
ERR659138,OTHER,0.9980526
ERR659043,OTHER,0.99993545
ERR659139,OTHER,0.9999369
ERR659044,OTHER,0.79672563
ERR659140,OTHER,0.85269326
ERR659045,OTHER,0.999101
ERR659141,OTHER,0.9986199
ERR659046,OTHER,0.99685585
ERR659142,OTHER,0.99781895
ERR659047,OTHER,0.9990452
ERR659143,OTHER,0.999235
ERR659048,OTHER,0.9982893
ERR659144,OTHER,0.99835044
ERR659049,OTHER,0.9890504
ERR659145,OTHER,0.98849136
ERR659050,OTHER,0.99889535
ERR659146,OTHER,0.9984029
ERR659051,OTHER,0.99991435
ERR659147,OTHER,0.99989843
ERR659052,OTHER,0.9976538
ERR659148,OTHER,0.9982134
ERR659053,OTHER,0.99911165
ERR659149,OTHER,0.99873847
ERR659054,OTHER,0.5888987
ERR659150,OTHER,0.9656885
ERR659055,OTHER,0.9988376
ERR659151,OTHER,0.9966296
ERR659056,OTHER,0.97925806
ERR659152,OTHER,0.9706079
ERR659057,OTHER,0.9977439
ERR659153,OTHER,0.99610007
ERR659058,OTHER,0.99915344
ERR659154,OTHER,0.9993564
ERR659059,OTHER,0.9994947
ERR659155,OTHER,0.9994796
ERR659060,OTHER,0.9990063
ERR659156,OTHER,0.99787456
ERR659061,OTHER,0.99441224
ERR659157,OTHER,0.9940587
ERR659062,OTHER,0.9965892
ERR659158,OTHER,0.99784946
ERR659063,OTHER,0.9974515
ERR659159,OTHER,0.9976819
ERR659064,OTHER,0.9993812
ERR659160,OTHER,0.9993361
ERR659065,OTHER,0.75332487
ERR659161,OTHER,0.9043213
ERR659066,OTHER,0.9988643
ERR659162,OTHER,0.9991293
ERR659067,OTHER,0.99968433
ERR659163,OTHER,0.99964607
ERR659068,OTHER,0.97048455
ERR659164,OTHER,0.9770851
ERR659069,OTHER,0.99969614
ERR659165,OTHER,0.99988365
ERR659070,OTHER,0.997887
ERR659166,OTHER,0.996436
ERR659071,OTHER,0.9996829
ERR659167,OTHER,0.99984026
ERR659072,OTHER,0.9991453
ERR659168,OTHER,0.9986865
ERR659073,OTHER,0.9990319
ERR659169,OTHER,0.9994483
ERR659074,OTHER,0.9522812
ERR659170,OTHER,0.8706864
ERR659075,OTHER,0.988066
ERR659171,OTHER,0.983775
ERR659076,OTHER,0.93651617
ERR659172,OTHER,0.9237212
ERR659077,OTHER,0.9999566
ERR659173,OTHER,0.9999403
ERR659078,OTHER,0.9986839
ERR659174,OTHER,0.99895144
ERR659079,OTHER,0.9998975
ERR659175,OTHER,0.99990034
ERR659080,OTHER,0.93201363
ERR659176,OTHER,0.9052018
ERR659081,OTHER,0.9999712
ERR659177,OTHER,0.99997795
ERR659082,OTHER,0.99940336
ERR659178,OTHER,0.99925023
ERR659083,OTHER,0.94470435
ERR659179,TISSUE,0.50076723
ERR659084,OTHER,0.96458805
ERR659180,OTHER,0.6766468
ERR659085,OTHER,0.9993145
ERR659181,OTHER,0.99963456
ERR659086,OTHER,0.99759036
ERR659182,OTHER,0.996813
ERR659087,OTHER,0.9994283
ERR659183,OTHER,0.9993326
ERR659088,OTHER,0.96586275
ERR659184,OTHER,0.96023256
ERR659089,OTHER,0.999256
ERR659185,OTHER,0.9996635
ERR659090,OTHER,0.9990805
ERR659186,OTHER,0.99901736
ERR659091,OTHER,0.9995788
ERR659187,OTHER,0.9992959
ERR659092,OTHER,0.9999813
ERR659188,OTHER,0.99997914
ERR659093,OTHER,0.9996479
ERR659189,OTHER,0.99939287
SRR1265554,TISSUE,0.99718964
SRR1192353,OTHER,0.99998504
SRR1192354,OTHER,0.9999862
SRR1192370,OTHER,0.99997413
SRR1192371,OTHER,0.99997556
SRR1192399,OTHER,0.9999874
SRR1192398,OTHER,0.99998635
SRR1192417,OTHER,0.99996835
SRR1192418,OTHER,0.99997264
SRR1192415,OTHER,0.9999674
SRR1192416,OTHER,0.9999708
SRR1192413,OTHER,0.9999747
SRR1192414,OTHER,0.99997294
SRR1192420,OTHER,0.9999715
SRR1192419,OTHER,0.9999636
SRR1192471,OTHER,0.99997234
SRR1192470,OTHER,0.99996966
SRR1192469,OTHER,0.9999631
SRR1192468,OTHER,0.999967
SRR1192467,OTHER,0.9999706
SRR1192466,OTHER,0.9999701
SRR1192465,OTHER,0.999963
