,sex,sex_confi
SRR898270,male,0.99826634
SRR897265,male,0.9979795
SRR825141,male,0.9962389
SRR1203827,female,0.7504741
SRR605004,female,0.9977862
SRR898385,male,0.9971328
SRR897645,male,0.99686754
SRR896740,male,0.99782026
SRR898135,male,0.9983617
SRR1216062,male,0.9961044
SRR1265579,male,0.96503603
SRR959596,male,0.52107275
SRR1027176,female,0.99998915
SRR1652943,female,0.99768007
SRR1576147,male,0.99944144
ERR315485,male,0.99935544
SRR1027186,female,0.999987
SRR926694,male,0.9996732
SRR332172,male,0.9971158
SRR542384,female,0.99999255
SRR1265514,male,0.95528924
ERR649041,female,0.99919385
ERR519469,male,0.97558177
SRR898379,male,0.9943608
SRR846958,male,0.9671151
SRR1502803,male,0.99679613
SRR1216126,male,0.99963874
SRR2131555,male,0.99400985
SRR1146145,female,0.99831545
SRR1177689,female,0.9986494
SRR2313084,female,0.9428104
SRR1027184,female,0.99815845
SRR018256,male,0.999996
SRR1583603,female,0.98185617
SRR2810187,male,0.91179943
SRR1163270,male,0.9936174
SRR830971,male,0.9334701
SRR1747171,male,0.99555224
SRR278178,male,0.9991554
SRR1046816,male,0.9990875
SRR1265510,male,0.9903504
SRR1265560,male,0.9988338
SRR1754120,female,0.9479326
SRR959735,male,0.78486586
SRR1027005,female,0.9990074
SRR605003,male,0.98451406
SRR948113,female,0.99864066
SRR959619,male,0.5007842
SRR1374340,male,0.9640292
SRR2313076,female,0.7073313
ERR649029,male,0.9683644
SRR1509485,male,0.79054165
SRR1698167,male,0.9976698
SRR897423,male,0.997927
SRR896747,male,0.990626
SRR897147,male,0.9903102
SRR1216111,male,0.99546194
ERR329522,female,0.91491747
DRR006443,male,0.98056924
SRR959623,male,0.607529
SRR897837,male,0.99916613
SRR949078,female,0.9995481
SRR897998,male,0.9914686
SRR1146125,female,0.99499893
SRR1693460,male,0.99919444
SRR1374349,male,0.84952176
SRR897142,male,0.9865227
SRR950087,male,0.99190986
SRR2049757,male,0.984959
SRR1313174,female,0.9994911
SRR898012,male,0.98970956
ERR519483,female,0.9975505
SRR609423,male,0.9765671
SRR1295944,female,0.99984473
SRR896864,male,0.9975389
ERR752690,male,0.9540868
SRR897803,male,0.9990864
ERR752847,male,0.94639623
SRR1608546,male,0.9985899
SRR1927071,male,0.9920889
ERR752621,male,0.96484375
SRR1156273,male,0.5194841
SRR315299,female,0.7452866
SRR1026904,male,0.88980836
SRR897543,male,0.9907735
SRR1146170,female,0.99975884
SRR2052802,male,0.99514496
SRR1027759,male,0.8958248
SRR797141,male,0.9929776
SRR898308,male,0.9871519
SRR1652956,male,0.8829833
SRR1201676,female,0.96232545
SRR448105,male,0.99015313
SRR1608764,female,0.9986297
SRR1206035,female,0.9130602
SRR1191914,male,0.9999921
SRR1026976,female,0.9978572
SRR1521355,female,0.99999607
SRR1047823,male,0.9938033
SRR959641,male,0.6121069
SRR1027185,female,1.0
ERR315448,female,0.99826
SRR1313173,female,0.9732504
ERR863745,female,0.9999999
DRR006462,female,0.9998065
SRR897706,male,0.9939226
SRR1042020,male,0.99489677
SRR1927060,female,0.9983776
ERR315425,female,0.9700944
SRR2049785,male,0.9782101
SRR1202005,female,0.92817676
ERR863694,female,0.9984971
SRR897942,male,0.99466974
SRR070194,female,0.9557977
SRR897987,male,0.99082696
SRR975570,male,0.9930897
SRR2049661,male,0.96798307
SRR897565,male,0.99431866
SRR1746777,male,0.9745022
SRR2052730,male,0.98665106
SRR1216068,male,0.9972814
SRR1002097,female,0.9999984
SRR191694,male,0.78265643
ERR532599,male,0.9999809
SRR397187,male,0.9998196
ERR863732,female,0.99991673
SRR896773,male,0.9919674
SRR650162,female,0.84668624
ERR832543,male,0.91974306
SRR1177675,female,0.99492776
SRR057633,male,0.99990237
SRR1036066,female,0.9956957
SRR896893,male,0.99695647
SRR397229,male,0.99559563
SRR868840,female,0.9999865
SRR903318,male,0.9979699
SRR537105,female,0.9988533
SRR2040350,female,0.998511
ERR315408,male,0.9968813
SRR2049752,female,0.99995154
SRR2926060,male,0.99082935
SRR1760950,female,0.82214135
SRR1747152,male,0.9961983
ERR863766,female,0.9987327
SRR1313107,female,0.9946211
SRR1521441,male,0.99528486
ERR532586,male,0.9998514
SRR1373455,female,0.9992205
SRR1721313,male,0.9831424
SRR648427,male,0.9996172
SRR897600,male,0.996946
SRR363760,female,0.9999282
ERR210967,male,0.9870617
SRR2443212,female,0.99918634
SRR898201,male,0.996997
SRR2443253,female,0.9898133
SRR959612,male,0.61256117
SRR650197,male,0.5796403
SRR898384,male,0.9966122
ERR832558,female,0.9959043
SRR1213712,male,0.9999178
SRR2313089,female,0.9424364
SRR2926057,female,0.9922964
SRR1265563,male,0.97885454
SRR898130,male,0.9989494
SRR1026928,female,0.9885352
SRR1785250,female,0.9979885
ERR752726,female,0.9914926
SRR2049602,male,0.9954408
SRR897209,male,0.9951081
SRR1216027,male,0.9931649
SRR542395,female,0.99999774
SRR976746,female,0.9941808
SRR1027987,female,0.8229024
SRR1656641,female,0.9999852
SRR397178,female,0.99969643
SRR898367,male,0.99734056
SRR1026880,male,0.92456704
ERR210954,male,0.9976889
SRR897833,male,0.9970306
SRR1213741,male,0.9991826
SRR1693468,male,0.9994222
SRR959659,female,0.5929354
SRR896754,male,0.99618924
SRR1747165,male,0.99575424
SRR949114,male,0.99913895
ERR752571,male,0.9575262
SRR897943,male,0.9951704
SRR897503,male,0.9870375
SRR357437,female,0.96428984
SRR2049616,female,0.9994113
SRR897919,male,0.9948214
SRR898263,male,0.9987399
SRR898466,male,0.9952613
SRR2026323,female,0.9330479
SRR1146092,female,0.9998776
