,tissue,tissue_confi
ERR519521,ESOPHAGUS,0.8381146
SRR898251,LIVER,0.54865444
ERR833254,OTHER,1.0
ERR649031,ESOPHAGUS,0.8998588
SRR896868,BRAIN,1.0
SRR898014,BRAIN,1.0
SRR898204,BRAIN,1.0
SRR898191,BRAIN,1.0
SRR1216105,BRAIN,1.0
ERR532590,PROSTATE,1.0
SRR898419,BRAIN,1.0
SRR1213568,OTHER,1.0
SRR1639279,BRAIN,0.6993669
SRR1216129,BRAIN,1.0
SRR317094,OTHER,1.0
SRR897589,BRAIN,1.0
ERR731495,LUNG,0.9999815
SRR897921,BRAIN,1.0
SRR898002,BRAIN,1.0
SRR897307,BRAIN,1.0
SRR1639243,BRAIN,0.9590071
SRR896711,LIVER,0.75439304
SRR959700,BONE MARROW,0.4788836
SRR898414,BRAIN,1.0
SRR897291,BRAIN,1.0
SRR897418,LIVER,0.5468638
SRR959657,BONE MARROW,0.49344578
ERR560452,OTHER,0.93978155
ERR519515,ESOPHAGUS,1.0
SRR897573,BRAIN,1.0
SRR896947,BRAIN,1.0
SRR898436,BRAIN,1.0
SRR898130,LIVER,0.5990041
SRR1215998,LIVER,0.758968
ERR833257,OTHER,1.0
SRR948097,BONE MARROW,0.9999636
SRR1721281,ADRENAL GLAND,1.0
SRR1201677,BRAIN,0.29809386
ERR832542,OTHER,1.0
SRR897414,LIVER,0.61098737
SRR650134,KIDNEY,0.49921164
SRR897637,BRAIN,1.0
SRR959618,BRAIN,0.99973935
ERR975346,OTHER,0.99928415
SRR1201712,LUNG,0.37671843
SRR897484,BRAIN,0.47619885
SRR897197,BRAIN,1.0
SRR959705,BONE MARROW,0.49518856
SRR1292507,LIVER,1.0
SRR959712,BONE MARROW,0.44021097
SRR897935,BRAIN,1.0
SRR898431,BRAIN,1.0
SRR926696,LIVER,1.0
ERR519486,ESOPHAGUS,0.99996346
SRR1201771,LUNG,0.24805436
SRR926691,LIVER,1.0
SRR650135,KIDNEY,0.5335504
ERR661282,UTERUS,0.30771774
ERR833258,OTHER,1.0
SRR896696,LIVER,0.7338061
SRR926656,OTHER,0.73673224
SRR926658,OTHER,0.7767111
SRR357437,LIVER,1.0
ERR833219,OTHER,1.0
SRR898483,BRAIN,1.0
ERR649048,SKIN,0.5980659
SRR897928,BRAIN,1.0
SRR897990,BRAIN,1.0
SRR897218,BRAIN,1.0
SRR1216021,LIVER,0.7576742
SRR633599,BREAST,0.94144344
SRR896957,BRAIN,1.0
SRR1201715,LUNG,0.3347446
SRR897413,LIVER,0.604097
SRR959658,BONE MARROW,0.48652214
SRR650202,KIDNEY,0.5775086
SRR959740,BONE MARROW,0.38774857
SRR897292,BRAIN,1.0
SRR898181,BRAIN,1.0
SRR1216005,LIVER,0.74636006
SRR897058,BRAIN,0.6963163
SRR897479,LIVER,0.69293547
SRR645375,LUNG,0.5702481
SRR898141,LIVER,0.6574231
SRR896872,BRAIN,1.0
SRR924531,OTHER,1.0
SRR897714,BRAIN,1.0
SRR1657543,ESOPHAGUS,1.0
SRR948095,BONE MARROW,0.9980876
SRR1202649,BRAIN,0.60416174
SRR897475,LIVER,0.7074612
ERR649021,ESOPHAGUS,1.0
SRR897722,BRAIN,1.0
SRR898382,BRAIN,1.0
SRR898451,BRAIN,1.0
ERR532442,PROSTATE,1.0
ERR519512,SKIN,0.54396886
SRR897051,BRAIN,0.73538405
SRR1201718,BRAIN,0.49985832
SRR896850,BRAIN,1.0
SRR897207,BRAIN,1.0
SRR897586,BRAIN,1.0
SRR1216062,BRAIN,1.0
SRR1193016,BRAIN,0.92756975
SRR1760947,BRAIN,0.99873656
SRR898129,LIVER,0.71163857
SRR898438,BRAIN,1.0
SRR897610,BRAIN,1.0
SRR1201730,BONE MARROW,0.31536126
SRR897210,BRAIN,1.0
SRR897959,BRAIN,1.0
SRR897837,LIVER,0.5606691
SRR1201710,LUNG,0.38394588
SRR1201711,LUNG,0.36190075
SRR1721286,OTHER,1.0
SRR650184,ESOPHAGUS,0.9954193
SRR1213740,OTHER,1.0
SRR633588,BREAST,0.991823
SRR1201683,LUNG,0.30136067
SRR898376,BRAIN,1.0
SRR1216057,BRAIN,1.0
SRR1216070,BRAIN,1.0
ERR833244,OTHER,1.0
ERR649023,ESOPHAGUS,0.92190474
SRR896879,BRAIN,1.0
ERR649059,SKIN,0.9999997
SRR898285,BRAIN,0.57025576
SRR897969,BRAIN,1.0
SRR645160,LUNG,0.45066237
ERR532582,PROSTATE,1.0
ERR030859,OTHER,0.99997646
SRR896866,BRAIN,1.0
SRR1201827,KIDNEY,0.9943403
SRR1203828,BRAIN,0.3286339
SRR897476,LIVER,0.6191448
SRR959702,BONE MARROW,0.44978228
SRR1216079,BRAIN,1.0
SRR896916,BRAIN,1.0
SRR1216061,BRAIN,1.0
SRR825135,OTHER,0.9195627
SRR1216085,BRAIN,1.0
SRR1216009,LIVER,0.7922811
SRR898467,BRAIN,1.0
SRR897448,LIVER,0.491208
SRR959696,BONE MARROW,0.35608003
SRR959661,BONE MARROW,0.4026423
SRR896974,BRAIN,1.0
SRR897605,BRAIN,1.0
SRR897061,BRAIN,0.8291275
SRR896871,BRAIN,1.0
SRR1201689,LUNG,0.35106236
SRR897473,LIVER,0.7343245
SRR898258,BRAIN,0.5248276
ERR649073,SKIN,0.94113046
SRR1201863,BRAIN,0.3568502
SRR959739,BONE MARROW,0.42802358
SRR959624,BRAIN,0.9989691
SRR873437,BRAIN,0.98097163
SRR898211,BRAIN,1.0
SRR1216076,BRAIN,1.0
SRR897670,BRAIN,1.0
SRR959615,BRAIN,0.9997128
SRR1767292,OTHER,1.0
SRR2166631,BONE MARROW,0.99999344
SRR926694,LIVER,1.0
SRR896925,BRAIN,1.0
SRR1203826,OTHER,0.7956654
SRR897309,BRAIN,1.0
SRR1190372,BRAIN,0.96228063
ERR532443,PROSTATE,1.0
SRR897699,BRAIN,1.0
SRR924146,OTHER,1.0
ERR519482,OTHER,0.88436604
SRR1202372,BRAIN,0.29279777
