,sex,sex_confi
SRR801704,female,0.9974958
SRR1216029,male,0.95203435
SRR2052745,male,0.96953833
ERR863685,female,0.9999754
SRR896972,male,0.9600347
SRR1617453,male,0.9618412
SRR645160,female,0.73919547
ERR752740,male,0.96449214
SRR396904,female,0.99292994
SRR898031,male,0.96284896
ERR863694,female,0.9998504
SRR2926065,male,0.9852606
SRR787272,female,0.977913
SRR1561678,male,0.57605255
ERR833237,male,0.98830664
SRR898451,male,0.9668806
SRR2049593,male,0.9903213
SRR897146,male,0.93641794
SRR1608681,male,0.99969846
SRR1036055,female,0.99907887
SRR317088,male,0.9621909
SRR039630,male,0.92381305
SRR1754118,male,0.97864234
SRR2926050,male,0.972266
ERR752727,male,0.94285804
SRR897244,male,0.9758914
SRR1660804,male,0.9786271
SRR611843,male,0.67416173
SRR2052770,female,0.9997013
ERR752705,female,0.99924564
SRR797122,female,0.9128726
SRR897645,male,0.9870866
SRR1146079,male,0.99908906
SRR333706,male,0.9621088
SRR897797,male,0.99868137
SRR1202289,female,0.9655587
SRR898325,male,0.94262266
SRR1067936,female,0.99922687
ERR752760,male,0.93148553
SRR897709,male,0.97266704
SRR633591,male,0.99115515
SRR1201667,female,0.9234211
SRR1027002,female,0.99929
SRR191708,male,0.91066444
SRR1036030,male,0.9955654
ERR752673,male,0.9683728
SRR423958,male,0.9971591
SRR492046,female,0.88070047
SRR896968,male,0.9554219
SRR897194,male,0.93263257
SRR897626,male,0.98831385
ERR519483,female,0.9873012
SRR2087372,female,0.9999708
SRR948104,male,0.9992325
SRR898201,male,0.99031985
SRR898359,male,0.940056
SRR1156274,male,0.5571564
SRR1177677,female,0.99919397
SRR898407,male,0.9914182
SRR897344,male,0.94495374
SRR2052719,male,0.9975699
SRR363693,male,0.6898136
SRR1576141,male,0.9188396
SRR898152,male,0.931207
ERR649057,male,0.9699362
SRR1002078,female,0.9996958
SRR2052795,male,0.98469305
SRR897673,male,0.9511447
ERR532569,male,0.99854773
SRR898493,male,0.9687313
SRR1617416,female,0.7479049
SRR897627,male,0.99189484
DRR006436,female,0.8152669
SRR830982,male,0.9500839
SRR898248,male,0.99666864
SRR1449123,male,0.99990976
ERR752688,male,0.9544741
SRR1177719,female,0.99975383
ERR315395,male,0.9998291
DRR006466,male,0.9570769
SRR1927035,female,0.9999506
SRR1161045,female,0.9999871
SRR897647,male,0.97099036
SRR1177684,male,0.9355687
SRR393010,female,0.98371065
SRR897688,male,0.9605044
ERR752753,male,0.975289
SRR299110,male,0.79349315
SRR1190462,male,0.99998456
ERR519478,male,0.95663774
SRR897461,male,0.9977129
ERR792543,male,0.9979256
SRR897937,male,0.9847698
SRR2049667,male,0.9834088
SRR2313087,male,0.99998057
SRR633573,female,0.9965385
SRR896803,male,0.94665414
SRR1265521,male,0.9799881
SRR1201714,female,0.95592004
SRR2926063,male,0.9757496
SRR959592,female,0.84374076
SRR396939,female,0.840103
SRR896760,male,0.94573987
SRR897278,male,0.9472537
SRR797153,female,0.99863636
SRR1222599,male,0.7712077
ERR863678,female,0.99998343
SRR479067,female,0.9993718
SRR1521354,male,0.95516336
SRR546240,male,0.9840649
SRR1146104,male,0.9983958
SRR896743,male,0.9561181
SRR1146192,male,0.99645394
SRR897503,male,0.93264186
SRR1265607,male,0.9858548
SRR2052751,male,0.96675044
SRR1201687,female,0.93060285
ERR348421,male,0.9893778
ERR030865,male,0.89103985
SRR2087339,female,0.99977875
SRR1658422,male,0.9955796
SRR1746780,female,0.97501945
SRR2443258,female,0.9981003
SRR1265577,male,0.9825861
SRR633559,male,0.8165307
SRR897893,male,0.936546
DRR006479,female,0.99025786
SRR898218,male,0.97175086
SRR1721300,female,0.99999064
SRR924538,male,0.99998665
SRR2443182,female,0.9979579
SRR1036509,male,0.97086746
SRR2962006,female,0.9951445
SRR896818,male,0.94922334
SRR897947,male,0.9854001
SRR897231,male,0.98630065
SRR1648331,male,0.99138594
SRR1042028,female,0.9996315
ERR315419,male,0.99607533
SRR1186059,female,0.99941635
SRR1146157,male,0.99856424
SRR897173,male,0.9218237
SRR898159,male,0.94769096
SRR1652930,male,0.7637202
SRR897664,male,0.9377602
SRR1216083,male,0.97944784
SRR1146212,male,0.9960186
SRR391078,male,0.9892079
SRR897310,male,0.9574567
SRR1213847,male,0.98250616
ERR752580,male,0.98110914
SRR897624,male,0.98970306
SRR868828,female,0.9995467
SRR1652933,male,0.83998555
SRR898456,male,0.96997225
SRR2052737,male,0.993653
ERR502852,male,0.9999806
SRR898014,male,0.9736473
SRR397221,male,0.71028554
SRR2049637,male,0.96731794
SRR1222601,female,0.99931335
SRR975570,male,0.99040663
SRR650153,male,0.9999501
SRR897578,male,0.98970205
SRR514139,male,0.9876382
ERR752633,female,0.99950445
SRR650230,male,0.94640243
SRR2443149,female,0.99898684
SRR1213834,male,0.8361471
SRR397189,female,0.9999897
SRR2087283,female,0.9999382
SRR542376,female,0.9999178
ERR649052,male,0.9927257
SRR959619,female,0.8357099
SRR1067984,female,0.9994278
SRR897801,male,0.9985054
SRR1177749,female,0.99613893
SRR1193012,male,0.9999868
SRR1608538,male,0.7265853
SRR387447,male,0.99703616
SRR396901,male,0.9627768
ERR035533,female,0.9818451
SRR1617423,female,0.7508819
SRR897309,male,0.95148027
SRR896784,male,0.93688554
SRR949121,female,0.9985858
SRR1385245,male,0.99998045
SRR898292,male,0.9991821
SRR1216014,male,0.9985441
ERR752805,male,0.9833394
SRR897949,male,0.9870993
SRR1193005,male,0.9999881
SRR1608657,female,0.9987294
ERR315462,male,0.98726225
SRR018266,female,0.9325509
SRR897332,male,0.9655596
SRR1313174,female,0.9977986
SRR2087289,male,0.9999259
SRR1026962,male,0.9674775
SRR1521405,female,0.99982595
SRR830997,female,0.9614893
SRR650135,male,0.99993896
SRR1145046,male,0.9925275
SRR2313996,male,0.96936655
SRR1195620,male,0.9999949
SRR903210,male,0.9578905
SRR2026313,male,0.86851054
SRR959682,female,0.90992725
SRR191655,male,0.9977747
ERR752664,male,0.94231206
SRR1652957,female,0.9830589
SRR1693468,male,0.9993553
SRR897266,male,0.9856221
SRR897049,male,0.9958189
ERR315378,female,0.8953843
ERR752634,male,0.9559943
SRR1265549,male,0.9932194
SRR397200,female,0.9986221
SRR611066,female,0.79474175
SRR897311,male,0.9514438
SRR1177700,female,0.9996473
SRR896801,male,0.94996154
SRR349672,male,0.6975351
SRR633601,female,0.9999067
SRR897891,male,0.9493009
SRR1026900,female,0.99861735
SRR846948,female,0.99986374
SRR2040271,female,0.9898712
SRR897867,male,0.952353
SRR397231,male,0.9871297
SRR2052790,male,0.9768866
SRR1839800,female,0.9990759
SRR628588,male,0.9993351
SRR898257,male,0.99801284
SRR397198,female,0.9893058
SRR2926043,male,0.98818827
SRR897823,male,0.99882144
SRR424567,female,0.9666441
SRR1265895,female,0.9953295
ERR752691,male,0.9511256
SRR1216070,male,0.99028903
SRR1760951,female,0.9624944
SRR959744,female,0.8772027
SRR2087374,female,0.99988395
SRR1163243,female,0.7130356
DRR006446,female,0.9672887
SRR897069,male,0.9947758
SRR1169865,male,0.9997678
SRR546588,female,0.92121667
SRR2049711,male,0.9578894
SRR1785304,female,0.99628294
SRR797096,male,0.9452065
SRR1313179,female,0.9995941
SRR797146,female,0.96152556
SRR2049743,male,0.9556829
ERR351374,female,0.9985159
SRR897446,male,0.99947464
SRR2052767,female,0.9997552
SRR1028000,male,0.83542633
SRR896829,male,0.9889678
SRR903162,male,0.8327452
DRR003597,male,0.72494245
SRR959626,female,0.7859084
SRR897203,male,0.98049116
SRR1663280,male,0.9997209
SRR2927597,male,0.9163868
SRR2049760,female,0.999942
SRR1216044,male,0.9489867
SRR400343,male,0.9986882
SRR903014,male,0.9986367
SRR1201863,female,0.9855968
SRR2052801,male,0.98213786
SRR897274,male,0.9654935
ERR832549,male,0.9566084
ERR841670,female,0.9747914
SRR1648328,male,0.9959515
SRR1652974,male,0.9449989
SRR2313076,female,0.8282665
SRR898273,male,0.9975151
ERR210965,female,0.9998187
SRR1693455,male,0.9992178
SRR896828,male,0.9853336
ERR752804,male,0.98930204
SRR1777316,female,0.70456326
SRR897510,male,0.96331155
SRR922462,female,0.99866027
SRR896683,male,0.9986137
SRR2926057,female,0.94639844
SRR897836,male,0.9984285
SRR896924,male,0.9486901
DRR006443,male,0.9684286
SRR1146090,female,0.9993718
SRR959613,female,0.78690326
SRR830972,male,0.9357103
SRR1785302,female,0.9949919
SRR1177715,male,0.94852436
SRR2087287,male,0.999807
SRR333700,male,0.929072
SRR2052752,female,0.9999608
SRR2049670,male,0.84958065
SRR1313096,female,0.99283457
SRR3096659,female,0.9978117
SRR1313200,female,0.99859774
SRR605005,female,0.9934839
SRR896939,male,0.96291864
SRR898490,male,0.96154654
SRR1163257,female,0.8899476
SRR834569,male,0.9984263
SRR396936,female,0.9965374
SRR2049669,female,0.9954913
ERR315470,male,0.9304407
SRR897968,male,0.9864845
SRR902942,male,0.99371755
SRR896812,male,0.9545121
SRR1767251,female,0.9998844
SRR897093,male,0.9970868
SRR959601,female,0.7739499
SRR2081130,male,0.99993545
SRR1216124,male,0.9993911
SRR1768922,male,0.995156
SRR1046834,male,0.99986476
SRR1583594,female,0.99641675
SRR650150,female,0.5100134
SRR1026974,female,0.9994273
SRR924534,male,0.9999591
SRR897808,male,0.99750215
SRR897508,male,0.94269407
SRR1046837,male,0.9999383
SRR1576154,male,0.9908117
SRR1657547,male,0.84959716
ERR752759,male,0.9725539
SRR975587,male,0.99998605
SRR1047833,female,0.9728764
SRR975557,male,0.98852885
SRR846945,male,0.9570862
SRR1693463,male,0.999728
SRR1027009,female,0.99905765
SRR1562547,male,0.99823314
SRR3096594,female,0.647782
SRR897792,male,0.99562263
SRR897206,male,0.97943765
ERR519499,male,0.8440547
SRR2087362,female,0.99967325
SRR1785254,female,0.99834025
SRR988500,female,0.9994916
SRR1177727,male,0.877686
SRR975555,female,0.9994421
SRR1712908,male,0.9842434
SRR1036010,female,0.999965
SRR1521402,male,0.9972245
SRR976772,female,0.9770395
SRR897209,male,0.98150027
SRR448110,female,0.9990486
SRR1002083,female,0.9991461
SRR1927064,male,0.9373139
SRR1313229,female,0.99910706
ERR329522,female,0.95086306
SRR1145045,female,0.96566355
SRR2506915,female,0.9847504
SRR896864,male,0.98995364
SRR2049619,female,0.99950105
SRR2026324,female,0.9607608
SRR1927058,male,0.9647601
SRR949086,male,0.99912214
