,tissue,tissue_confi
ERR532600,PROSTATE,1.0
SRR650144,ESOPHAGUS,0.9998213
SRR1201678,OVARY,0.9144276
SRR633571,BREAST,0.99999845
SRR1216116,BRAIN,0.9999151
SRR1216121,BRAIN,0.99999845
SRR896972,BRAIN,1.0
SRR896903,BRAIN,1.0
SRR1201672,OVARY,0.9010819
SRR1216102,BRAIN,1.0
SRR898376,BRAIN,1.0
ERR649022,ESOPHAGUS,0.9999998
SRR898031,BRAIN,1.0
SRR897989,BRAIN,1.0
SRR897616,BRAIN,1.0
SRR898458,BRAIN,1.0
ERR833237,BONE MARROW,0.99998045
SRR896948,BRAIN,1.0
SRR959615,BRAIN,0.99036235
SRR1216069,BRAIN,0.9999998
SRR898451,BRAIN,1.0
SRR926668,BONE MARROW,0.99996173
SRR317088,STOMACH,0.9932035
SRR1201725,OVARY,0.9160209
SRR898459,BRAIN,1.0
SRR1216082,BRAIN,1.0
SRR896940,BRAIN,1.0
SRR650136,ESOPHAGUS,0.99970263
SRR897244,BRAIN,0.9999998
ERR532564,PROSTATE,1.0
SRR1216104,BRAIN,1.0
SRR898001,BRAIN,1.0
DRR014113,BONE MARROW,1.0
SRR948100,BONE MARROW,1.0
SRR361334,LIVER,1.0
SRR897645,BRAIN,1.0
SRR898443,BRAIN,1.0
SRR1657540,ESOPHAGUS,1.0
SRR1721312,STOMACH,0.9999987
SRR897709,BRAIN,1.0
SRR1216129,BRAIN,0.9999995
SRR633591,BREAST,0.9999812
SRR1201667,OVARY,0.9036992
SRR897718,BRAIN,1.0
ERR532602,PROSTATE,1.0
SRR897281,BRAIN,1.0
SRR896968,BRAIN,1.0
SRR897626,BRAIN,1.0
ERR519483,ESOPHAGUS,0.9998477
SRR948104,BONE MARROW,1.0
SRR898180,BRAIN,1.0
SRR898044,BRAIN,1.0
ERR532574,PROSTATE,1.0
SRR898201,BRAIN,1.0
SRR1156274,OVARY,0.9847331
SRR898407,BRAIN,1.0
SRR897344,BRAIN,1.0
SRR959550,BRAIN,0.9441103
ERR649057,ESOPHAGUS,0.9999995
SRR897673,BRAIN,1.0
ERR532569,PROSTATE,1.0
SRR1201773,OVARY,0.93172425
SRR898493,BRAIN,1.0
SRR897627,BRAIN,1.0
SRR922551,BONE MARROW,0.99997795
SRR897267,BRAIN,1.0
SRR898406,BRAIN,1.0
SRR1657554,ESOPHAGUS,1.0
SRR897647,BRAIN,1.0
SRR393010,LUNG,1.0
SRR897597,BRAIN,1.0
SRR897688,BRAIN,1.0
SRR650168,ESOPHAGUS,0.9855007
ERR519467,ESOPHAGUS,0.9794644
SRR896869,BRAIN,1.0
ERR519478,ESOPHAGUS,0.9852363
SRR897288,BRAIN,1.0
ERR532613,PROSTATE,1.0
SRR897937,BRAIN,0.9999999
SRR1201712,OVARY,0.92310065
SRR897339,BRAIN,1.0
SRR633573,BREAST,0.9999749
SRR898231,BRAIN,1.0
SRR542374,BREAST,0.9998657
SRR1201669,OVARY,0.94564116
SRR1201714,OVARY,0.91411793
SRR959592,BRAIN,0.9584152
SRR896881,BRAIN,1.0
SRR897278,BRAIN,1.0
ERR731483,LUNG,0.9997586
SRR898387,BRAIN,1.0
SRR898378,BRAIN,1.0
SRR546240,STOMACH,0.9999547
SRR896934,BRAIN,1.0
SRR896942,BRAIN,1.0
ERR532437,PROSTATE,1.0
SRR896956,BRAIN,1.0
SRR542378,BREAST,0.99999416
SRR1216089,BRAIN,1.0
SRR898367,BRAIN,1.0
SRR633559,BREAST,0.99998283
SRR832891,STOMACH,0.96861917
SRR898218,BRAIN,1.0
SRR959623,BRAIN,0.9225305
SRR1721300,KIDNEY,1.0
SRR897283,BRAIN,1.0
SRR897947,BRAIN,1.0
ERR502851,BONE MARROW,0.9999881
ERR832541,BONE MARROW,0.9984967
SRR897231,BRAIN,0.9999998
SRR898462,BRAIN,1.0
SRR897664,BRAIN,1.0
SRR1216083,BRAIN,1.0
SRR898217,BRAIN,1.0
SRR391078,BONE MARROW,1.0
SRR897310,BRAIN,1.0
SRR897624,BRAIN,1.0
SRR926686,LIVER,1.0
SRR896952,BRAIN,1.0
ERR832536,BONE MARROW,0.9891588
SRR898456,BRAIN,1.0
ERR922711,PROSTATE,0.9999854
ERR210963,LIVER,1.0
SRR834573,LIVER,0.9999995
ERR502852,BONE MARROW,0.99998933
SRR898014,BRAIN,1.0
SRR1201860,OVARY,0.91029483
SRR897313,BRAIN,1.0
SRR897578,BRAIN,1.0
SRR898184,BRAIN,1.0
ERR532576,PROSTATE,1.0
SRR2166625,BONE MARROW,0.9989362
SRR650230,KIDNEY,0.92486936
SRR1213834,STOMACH,0.90424025
SRR959636,BRAIN,0.9230202
SRR542376,BREAST,0.9996352
ERR649059,SKIN,0.9987544
ERR649052,ESOPHAGUS,0.9997923
SRR959619,BRAIN,0.9929775
ERR519523,ESOPHAGUS,0.99971914
SRR896899,BRAIN,1.0
SRR959624,BRAIN,0.94952345
SRR387447,BONE MARROW,0.99931985
SRR897943,BRAIN,0.9999999
SRR897667,BRAIN,1.0
SRR897309,BRAIN,1.0
SRR897687,BRAIN,1.0
SRR825136,STOMACH,0.9999874
SRR898492,BRAIN,1.0
SRR1213721,STOMACH,0.9847166
SRR896858,BRAIN,1.0
SRR1216077,BRAIN,0.9999995
SRR897949,BRAIN,1.0
SRR898038,BRAIN,1.0
SRR1216086,BRAIN,1.0
SRR897332,BRAIN,1.0
SRR1596224,BONE MARROW,0.9999983
SRR897601,BRAIN,1.0
SRR959594,BRAIN,0.9369321
SRR317086,STOMACH,0.984126
SRR897962,BRAIN,1.0
SRR898476,BRAIN,1.0
SRR1201867,OVARY,0.9089594
SRR546589,KIDNEY,1.0
SRR896831,BRAIN,1.0
SRR897656,BRAIN,1.0
SRR1201719,OVARY,0.933527
SRR1216052,BRAIN,0.9999997
SRR897266,BRAIN,1.0
SRR897297,BRAIN,1.0
SRR898030,BRAIN,1.0
SRR897973,BRAIN,0.9999999
SRR611066,BRAIN,1.0
SRR896850,BRAIN,1.0
SRR897311,BRAIN,1.0
ERR532607,PROSTATE,1.0
ERR922712,PROSTATE,0.99999964
SRR349672,BRAIN,0.9833067
SRR633601,KIDNEY,1.0
ERR833224,BONE MARROW,0.9999148
SRR897926,BRAIN,1.0
SRR898448,BRAIN,1.0
DRR014032,BONE MARROW,0.99779737
SRR898028,BRAIN,1.0
ERR833226,BONE MARROW,0.9999231
SRR896865,BRAIN,1.0
SRR633577,BREAST,1.0
SRR534325,BONE MARROW,1.0
ERR532603,PROSTATE,1.0
SRR424567,ESOPHAGUS,0.99919826
SRR897630,BRAIN,1.0
SRR633583,BREAST,0.99997824
SRR542392,BREAST,1.0
SRR1216070,BRAIN,0.9999998
SRR1106536,OVARY,0.97191733
SRR897262,BRAIN,0.9999999
SRR1760951,BRAIN,0.9989997
SRR546588,KIDNEY,1.0
SRR1201800,OVARY,0.91775596
SRR898225,BRAIN,1.0
SRR896871,BRAIN,1.0
SRR826662,PANCREAS,0.99954116
SRR1721303,LUNG,1.0
SRR898219,BRAIN,1.0
SRR897631,BRAIN,1.0
SRR898435,BRAIN,1.0
SRR897644,BRAIN,0.9999999
SRR896829,BRAIN,1.0
SRR897670,BRAIN,1.0
SRR1721311,STOMACH,0.9999982
DRR003597,OVARY,0.9842011
SRR897929,BRAIN,1.0
SRR897600,BRAIN,1.0
SRR897205,BRAIN,0.9999998
SRR1201771,OVARY,0.9212285
SRR897203,BRAIN,0.9999997
SRR926664,BONE MARROW,0.9996749
SRR542357,BREAST,0.99974746
SRR898016,BRAIN,1.0
SRR628224,LIVER,1.0
SRR1216072,BRAIN,0.9999999
SRR896897,BRAIN,1.0
SRR826663,PANCREAS,0.9991293
SRR1216076,BRAIN,0.9999998
SRR1201863,OVARY,0.9096044
SRR897274,BRAIN,1.0
ERR832549,BONE MARROW,0.99963015
SRR896918,BRAIN,1.0
SRR897208,BRAIN,0.9999998
SRR2087206,STOMACH,0.9754548
ERR532434,PROSTATE,1.0
ERR210965,BRAIN,0.9979474
ERR833252,BONE MARROW,0.99913466
ERR532568,PROSTATE,0.9999999
SRR896828,BRAIN,1.0
SRR897246,BRAIN,0.9999998
SRR896895,BRAIN,1.0
SRR922462,BONE MARROW,0.9999921
SRR650154,PROSTATE,1.0
SRR542380,BREAST,0.9999916
SRR896924,BRAIN,1.0
SRR959613,BRAIN,0.9860346
SRR897605,BRAIN,1.0
SRR898213,BRAIN,1.0
SRR897933,BRAIN,1.0
SRR1216108,BRAIN,0.99999774
SRR542389,BREAST,0.99999654
SRR897653,BRAIN,1.0
SRR546229,STOMACH,0.9983161
ERR832546,BONE MARROW,0.9993633
SRR896939,BRAIN,1.0
SRR898490,BRAIN,1.0
SRR897924,BRAIN,1.0
SRR834569,LIVER,1.0
SRR278175,ESOPHAGUS,1.0
ERR532575,PROSTATE,1.0
SRR897968,BRAIN,1.0
ERR833241,BONE MARROW,0.99998665
SRR897942,BRAIN,1.0
SRR959601,BRAIN,0.94495904
SRR2081130,PROSTATE,0.9990805
ERR731519,LUNG,0.9997222
SRR896954,BRAIN,1.0
SRR897696,BRAIN,1.0
SRR897613,BRAIN,1.0
SRR898033,BRAIN,1.0
ERR532561,PROSTATE,1.0
SRR1201708,OVARY,0.9226753
SRR633572,BREAST,0.999997
SRR896893,BRAIN,0.9999999
DRR014033,BONE MARROW,0.99924576
SRR898468,BRAIN,1.0
SRR1265554,LUNG,1.0
SRR633567,BREAST,0.99999964
SRR897576,BRAIN,1.0
SRR1657547,ESOPHAGUS,1.0
SRR897206,BRAIN,0.9999997
ERR519499,KIDNEY,0.99999505
SRR633570,BREAST,0.9999994
SRR387446,BONE MARROW,0.9999245
SRR387434,BONE MARROW,0.9991859
SRR959599,BRAIN,0.9392104
SRR1712908,OVARY,0.936125
SRR897618,BRAIN,1.0
SRR897651,BRAIN,1.0
SRR387442,BONE MARROW,0.99907416
ERR532441,PROSTATE,1.0
SRR897209,BRAIN,0.9999999
ERR532559,PROSTATE,1.0
SRR898429,BRAIN,0.9999999
SRR1213838,STOMACH,0.9274465
SRR897247,BRAIN,0.9999998
SRR948095,BONE MARROW,1.0
SRR1201706,OVARY,0.9091201
SRR633574,BREAST,0.9999218
SRR896864,BRAIN,1.0
ERR863548,LIVER,1.0
SRR898233,BRAIN,1.0
SRR897573,BRAIN,1.0
SRR898181,BRAIN,1.0
SRR897952,BRAIN,1.0
SRR542346,BREAST,0.97030705
SRR897212,BRAIN,0.9999998
SRR897650,BRAIN,1.0
DRR003598,OVARY,0.9904599
ERR532583,PROSTATE,1.0
SRR1216055,BRAIN,0.9999995
ERR532588,PROSTATE,1.0
SRR014495,BRAIN,1.0
SRR897674,BRAIN,1.0
SRR1721301,LUNG,0.99999
SRR898453,BRAIN,1.0
SRR387437,BONE MARROW,0.9862037
SRR898431,BRAIN,1.0
SRR542353,BREAST,0.9999998
SRR834570,LIVER,1.0
ERR532440,PROSTATE,1.0
SRR898463,BRAIN,1.0
SRR898475,BRAIN,1.0
SRR546231,STOMACH,0.92999494
SRR896969,BRAIN,1.0
SRR542387,BREAST,0.9998881
SRR896975,BRAIN,1.0
SRR898403,BRAIN,1.0
ERR532553,PROSTATE,1.0
SRR897218,BRAIN,0.9999994
SRR387443,BONE MARROW,0.9996942
SRR1216073,BRAIN,0.99999964
SRR898373,BRAIN,1.0
SRR897928,BRAIN,1.0
SRR898424,BRAIN,0.9999999
SRR897955,BRAIN,1.0
SRR897227,BRAIN,0.9999997
SRR898418,BRAIN,1.0
SRR1201873,OVARY,0.9164654
SRR948092,BONE MARROW,0.9999999
SRR609426,BRAIN,1.0
SRR896902,BRAIN,1.0
SRR896830,BRAIN,1.0
SRR424335,ESOPHAGUS,0.99990386
ERR173258,PANCREAS,1.0
SRR1760949,BRAIN,0.99031335
SRR834574,LIVER,1.0
SRR278174,ESOPHAGUS,1.0
SRR1213726,STOMACH,0.96331435
SRR897641,BRAIN,1.0
SRR948114,BONE MARROW,1.0
SRR897931,BRAIN,1.0
SRR896977,BRAIN,1.0
SRR898377,BRAIN,0.9999999
SRR897202,BRAIN,0.9999998
SRR896970,BRAIN,1.0
SRR898020,BRAIN,1.0
SRR1216109,BRAIN,0.9999825
SRR898473,BRAIN,1.0
SRR897280,BRAIN,1.0
SRR2166638,BONE MARROW,0.9220995
ERR532436,PROSTATE,1.0
SRR1216135,BRAIN,0.999986
SRR897668,BRAIN,1.0
SRR834565,LIVER,1.0
DRR003595,OVARY,0.96206653
SRR948109,BONE MARROW,1.0
SRR393827,BONE MARROW,1.0
SRR1657546,ESOPHAGUS,1.0
SRR896835,BRAIN,1.0
ERR519522,ESOPHAGUS,0.99770194
SRR897223,BRAIN,0.9999997
SRR2166629,BONE MARROW,0.9999811
SRR897591,BRAIN,1.0
SRR1216103,BRAIN,1.0
SRR898036,BRAIN,1.0
SRR898411,BRAIN,1.0
SRR897222,BRAIN,0.9999998
SRR898486,BRAIN,1.0
SRR897254,BRAIN,0.9999998
SRR1721280,ADRENAL GLAND,1.0
SRR1201715,OVARY,0.9147879
SRR897619,BRAIN,1.0
SRR897710,BRAIN,1.0
SRR896854,BRAIN,1.0
SRR926666,BONE MARROW,0.99959326
SRR898391,BRAIN,1.0
SRR826658,PANCREAS,1.0
SRR897598,BRAIN,1.0
SRR896951,BRAIN,1.0
SRR897923,BRAIN,1.0
ERR833248,BONE MARROW,0.999962
SRR387439,BONE MARROW,0.99797404
ERR832538,BONE MARROW,0.98905694
ERR532565,PROSTATE,1.0
SRR898006,BRAIN,1.0
DRR029117,ESOPHAGUS,0.9995783
SRR896911,BRAIN,1.0
ERR532596,PROSTATE,1.0
ERR532610,PROSTATE,1.0
SRR897593,BRAIN,1.0
SRR896877,BRAIN,1.0
ERR532549,PROSTATE,1.0
ERR532446,PROSTATE,1.0
SRR897201,BRAIN,0.9999997
ERR532439,PROSTATE,1.0
SRR922464,BONE MARROW,0.99999607
ERR532578,PROSTATE,1.0
SRR898487,BRAIN,1.0
SRR897944,BRAIN,0.9999999
SRR1216060,BRAIN,0.9999997
ERR532594,PROSTATE,1.0
SRR633598,BREAST,0.9999992
SRR387427,BONE MARROW,0.98885727
SRR628227,PROSTATE,0.9999868
ERR922710,PROSTATE,1.0
SRR1216095,BRAIN,1.0
SRR898396,BRAIN,1.0
SRR898446,BRAIN,1.0
SRR542384,BREAST,0.99999744
SRR897595,BRAIN,1.0
ERR833221,BONE MARROW,0.9999672
SRR1201779,OVARY,0.90809476
SRR1216100,BRAIN,1.0
SRR896927,BRAIN,1.0
SRR801429,STOMACH,0.9999889
SRR897610,BRAIN,1.0
SRR898017,BRAIN,1.0
ERR502859,BONE MARROW,0.9999911
SRR1721281,ADRENAL GLAND,1.0
ERR210960,BRAIN,0.99987185
SRR496581,PROSTATE,0.9999976
SRR896823,BRAIN,1.0
SRR924146,BONE MARROW,0.9081113
SRR1639278,OVARY,0.9065024
SRR959603,BRAIN,0.9569993
SRR1213580,STOMACH,0.9908532
SRR834568,LIVER,1.0
SRR926662,BONE MARROW,0.99986154
SRR542382,BREAST,0.99999875
SRR897725,BRAIN,1.0
SRR897648,BRAIN,1.0
SRR897964,BRAIN,1.0
SRR897922,BRAIN,1.0
SRR948111,BONE MARROW,1.0
SRR1760950,BRAIN,0.9432222
SRR898202,BRAIN,0.9999999
ERR832539,BONE MARROW,0.98856497
SRR898192,BRAIN,1.0
SRR898415,BRAIN,1.0
SRR898401,BRAIN,0.9999999
SRR1721306,LUNG,1.0
SRR834560,LIVER,1.0
SRR922451,BONE MARROW,0.99999636
SRR896825,BRAIN,1.0
SRR897293,BRAIN,1.0
SRR926690,LIVER,1.0
SRR650156,ESOPHAGUS,0.931743
SRR1721297,STOMACH,0.99092305
SRR959596,BRAIN,0.95085585
SRR542388,BREAST,1.0
SRR897200,BRAIN,0.9999998
SRR628223,KIDNEY,1.0
SRR014497,BRAIN,1.0
SRR898413,BRAIN,0.9999999
ERR560452,BONE MARROW,0.99862444
SRR897671,BRAIN,1.0
SRR896827,BRAIN,1.0
ERR649047,ESOPHAGUS,0.9999555
ERR649069,ESOPHAGUS,0.9988157
SRR922450,BONE MARROW,0.99999654
SRR897930,BRAIN,1.0
SRR897607,BRAIN,1.0
SRR897680,BRAIN,1.0
SRR898204,BRAIN,1.0
SRR926692,LIVER,1.0
SRR897259,BRAIN,1.0
SRR897941,BRAIN,1.0
SRR898237,BRAIN,1.0
ERR832545,BONE MARROW,0.9992855
SRR801430,STOMACH,1.0
SRR897221,BRAIN,0.9999997
SRR1201673,OVARY,0.9184065
SRR959643,BRAIN,0.990812
SRR959639,BRAIN,0.9785597
SRR1216058,BRAIN,0.99999964
SRR897295,BRAIN,1.0
SRR926699,LIVER,1.0
SRR542359,BREAST,0.9999999
ERR833239,BONE MARROW,0.9999896
ERR649037,ESOPHAGUS,0.9995551
SRR1201982,OVARY,0.9225321
SRR1216084,BRAIN,1.0
SRR897612,BRAIN,1.0
SRR1216134,BRAIN,0.9998868
SRR898409,BRAIN,1.0
SRR926687,LIVER,1.0
SRR897622,BRAIN,1.0
SRR1203009,LIVER,0.9866425
SRR896901,BRAIN,1.0
