,sample_type
GTEX-QMR6-1926-SM-32PL9,TISSUE
GTEX-T5JC-0011-R11A-SM-5S2RX,TISSUE
GTEX-POMQ-0326-SM-2I5FO,TISSUE
GTEX-T6MN-0011-R11A-SM-5S2TH,TISSUE
GTEX-T5JC-0426-SM-5S2SL,TISSUE
GTEX-P4QR-1026-SM-2I5GP,TISSUE
GTEX-OHPN-0011-R4A-SM-2I5FD,TISSUE
GTEX-TMMY-0326-SM-33HBF,TISSUE
GTEX-PVOW-2526-SM-2XCF7,TISSUE
GTEX-P4PP-2026-SM-3P61N,TISSUE
GTEX-TSE9-0326-SM-3DB82,TISSUE
GTEX-WY7C-2526-SM-3NB2N,TISSUE
GTEX-11P81-1526-SM-5P9GS,TISSUE
GTEX-WK11-0006-SM-3NB3J,TISSUE
GTEX-14BIN-0011-R6a-SM-5S2RH,TISSUE
GTEX-145LT-1626-SM-5O992,TISSUE
GTEX-13PLJ-0011-R11b-SM-5O9BS,TISSUE
GTEX-ZP4G-0726-SM-4WWF2,TISSUE
GTEX-XMK1-1726-SM-4B64Z,TISSUE
GTEX-SSA3-0226-SM-32QPN,TISSUE
GTEX-QDT8-2926-SM-32PKC,TISSUE
GTEX-OHPL-0526-SM-3NM8U,TISSUE
GTEX-SJXC-0126-SM-2XCFF,TISSUE
GTEX-WRHK-0826-SM-3MJFG,TISSUE
GTEX-P4QT-1326-SM-3NMD3,TISSUE
GTEX-144GL-0011-R3a-SM-5P9HP,TISSUE
GTEX-13X6K-0011-R6a-SM-5P9K6,TISSUE
GTEX-X4XX-0011-R2A-SM-3P623,TISSUE
GTEX-Q2AH-1726-SM-3NB2B,TISSUE
GTEX-QXCU-1726-SM-2TC6L,TISSUE
GTEX-11DXX-0226-SM-5P9HL,TISSUE
GTEX-P4QS-0626-SM-3NMD1,TISSUE
GTEX-Y5V6-0826-SM-4VBRU,TISSUE
GTEX-POMQ-1226-SM-3P61F,TISSUE
GTEX-14E1K-0006-SM-5N9DY,TISSUE
GTEX-ZYFG-0126-SM-5GIDH,TISSUE
GTEX-YF7O-0826-SM-4W21F,TISSUE
GTEX-R55E-0526-SM-2TC6B,TISSUE
GTEX-13O1R-0426-SM-5K7WG,TISSUE
GTEX-ZLWG-0526-SM-4WWFB,TISSUE
GTEX-Y111-1026-SM-4TT22,TISSUE
GTEX-145MH-0011-R5a-SM-5P9JT,TISSUE
GTEX-X4XX-1126-SM-3NMBY,TISSUE
GTEX-13OW8-0126-SM-5IJE5,TISSUE
GTEX-ZYWO-1126-SM-5U3SH,TISSUE
GTEX-ZQG8-2426-SM-57WEE,TISSUE
GTEX-TKQ1-1226-SM-4GICJ,TISSUE
GTEX-WHSB-0326-SM-3LK6K,TISSUE
GTEX-T6MN-1226-SM-3NMA5,TISSUE
GTEX-11NUK-1226-SM-5P9GM,TISSUE
GTEX-WFON-0426-SM-3GIL4,TISSUE
GTEX-X261-0011-R5A-SM-3NMB4,TISSUE
GTEX-PLZ6-1126-SM-3P5ZR,TISSUE
GTEX-13VXT-1126-SM-5LU3A,TISSUE
GTEX-13O1R-0726-SM-5IJEI,TISSUE
GTEX-UPK5-1126-SM-3GAEJ,TISSUE
GTEX-13FHP-0526-SM-5K7UY,TISSUE
GTEX-OXRK-0008-SM-3NB28,TISSUE
GTEX-13U4I-1726-SM-5J1MF,TISSUE
GTEX-1497J-0726-SM-5Q5D1,TISSUE
GTEX-ZGAY-0006-SM-4WWAQ,TISSUE
GTEX-145MG-0011-R7b-SM-5P9JY,TISSUE
GTEX-SIU7-1726-SM-2XCDZ,TISSUE
GTEX-14753-1626-SM-5NQ9L,TISSUE
GTEX-VUSG-1026-SM-4KKZN,TISSUE
GTEX-Y111-0426-SM-4TT3K,TISSUE
GTEX-13O3Q-0011-R4a-SM-5P9H2,TISSUE
GTEX-T5JC-0826-SM-32PMC,TISSUE
GTEX-WH7G-2626-SM-3NMBE,TISSUE
GTEX-ZC5H-0005-SM-4WAXM,TISSUE
GTEX-13OW6-1826-SM-5N9F9,TISSUE
GTEX-ZPU1-1526-SM-4YCFF,TISSUE
GTEX-P78B-0626-SM-5S2W4,TISSUE
GTEX-OOBK-3125-SM-3LK5R,TISSUE
GTEX-YB5E-0526-SM-4VDSD,TISSUE
GTEX-Y114-1226-SM-4TT88,TISSUE
GTEX-RVPU-0005-SM-2TF6L,TISSUE
GTEX-11OF3-1326-SM-5N9FJ,TISSUE
GTEX-S4Z8-0326-SM-3K2AU,TISSUE
GTEX-13X6I-2726-SM-5Q5ET,TISSUE
GTEX-XPT6-2126-SM-4B66P,TISSUE
GTEX-ZV68-0006-SM-4YCEJ,TISSUE
GTEX-131XF-1326-SM-5GCMQ,TISSUE
GTEX-ZV68-0008-SM-4YCCV,TISSUE
GTEX-11TTK-2426-SM-5PNYO,TISSUE
GTEX-1269C-2426-SM-5FQSN,TISSUE
GTEX-13PL7-2326-SM-5L3FY,TISSUE
GTEX-ZV7C-0826-SM-59HK8,TISSUE
GTEX-S32W-2226-SM-2XCAY,TISSUE
GTEX-QDVN-0726-SM-4B64L,TISSUE
GTEX-12WSH-0008-SM-5S2V1,TISSUE
GTEX-Y114-0006-SM-4TT76,TISSUE
GTEX-QDVJ-0005-SM-2TC5X,TISSUE
GTEX-ZT9W-2426-SM-57WFJ,TISSUE
GTEX-13QIC-1526-SM-5IJFL,TISSUE
GTEX-1313W-0011-R1b-SM-5EQ4A,TISSUE
GTEX-12WSD-3026-SM-5LZU7,TISSUE
GTEX-ZPU1-0008-SM-4E3IR,TISSUE
GTEX-13OW5-2926-SM-5IJF2,TISSUE
GTEX-13O3P-1626-SM-5K7X3,TISSUE
GTEX-Y9LG-0926-SM-4VDS6,TISSUE
GTEX-1313W-0011-R2a-SM-5EGLF,TISSUE
GTEX-YEC4-1126-SM-5CVLW,TISSUE
GTEX-13N1W-0926-SM-5MR36,TISSUE
GTEX-145MN-1726-SM-5SIA6,TISSUE
GTEX-1399U-0008-SM-5S2VE,TISSUE
GTEX-RNOR-0011-R4A-SM-3GAD3,TISSUE
GTEX-WFJO-1926-SM-3GILA,TISSUE
GTEX-ZYT6-1126-SM-5GZYR,TISSUE
GTEX-XOTO-0226-SM-4B66H,TISSUE
GTEX-REY6-2426-SM-48FF5,TISSUE
