run_id,sample_type
3DFF72D2-F292-497E-ACE3-6FAA9C884205,TISSUE
B1E54366-42B9-463C-8615-B34D52BD14DC,TISSUE
473713F7-EB41-4F20-A37F-ACD209E3CB75,TISSUE
11F18F54-9B33-4C33-BDF9-0F093F4F3336,TISSUE
136B7576-1108-4FA3-8254-6069F0CA879A,TISSUE
E81FA8B7-3FFE-4F73-94AF-0B5257D7F81A,TISSUE
1AB92ADA-637E-4A42-A39A-70CEEEA41AE3,TISSUE
46C422D1-E1A1-42E5-8FB1-918C0DAE533D,TISSUE
D30CF518-5FC6-4A54-8D5D-BA420EA1836D,TISSUE
C5300AA5-0115-43AC-ACBE-C4E33C6E41B8,TISSUE
80D0AF10-1C61-4B67-90C1-7DBF1EF23672,TISSUE
FCD43986-D877-4856-A4E0-F35AF0A5117D,TISSUE
87607DBB-DF66-41F1-8F31-AF0BE969E5D6,TISSUE
E6088A41-B0DC-4FBF-8D14-BE78024CF8CD,TISSUE
DA98A67C-F11F-41D3-8223-1161EBFF8B58,TISSUE
F9537DC1-770E-4CE2-9D67-CCAABCF60931,TISSUE
191FE3D1-FEBF-4585-B6F4-263BFAD4DD7E,TISSUE
6374E253-2CE1-4CE1-B6E9-9302A951533D,TISSUE
CD628EE7-84DE-4D82-840B-73718D006B6F,TISSUE
C9C70D33-C09B-4F7E-8F12-FDE51817038A,TISSUE
672AFEB7-E9AA-4A44-AA9C-EF6344AE5C5C,TISSUE
4852766A-9715-42DF-A555-F1C5011AC535,TISSUE
5F350242-0CF6-43AC-AB06-2C130D85C5CC,TISSUE
228C2042-804C-47FA-B565-1993E1015D40,TISSUE
DDC71530-38B7-483F-83DC-1BCC550719C3,TISSUE
06CCFD0F-7FB8-471E-B823-C7876582D6FC,TISSUE
DC1F29A2-39DE-44AD-936A-54B2B32D6370,TISSUE
670D8333-6723-4B4F-B533-D2BFF803A9BF,TISSUE
E2E857AB-E18D-41F8-8090-14CD0956D472,TISSUE
3BE08ABD-953D-4440-BF17-AA654E6381B7,TISSUE
A33B2F42-6EC6-4FB2-8BE5-542407A0382E,TISSUE
7826AE44-B03A-4528-9CB5-7421E592AE36,TISSUE
CC4C52A7-57D4-4959-ABFB-8ED3B1BA4DED,TISSUE
75858032-A88A-4851-BCE5-66831D649D57,TISSUE
D5E8379B-621C-4551-9B13-E63B1B068488,TISSUE
0DBC5E6B-7BBA-4083-9F99-2BC19D75F4E1,TISSUE
0DC2197B-2FEA-48EB-953E-8E44E1933757,TISSUE
10AD6BD1-FDB7-4C49-821E-C03B946FF92D,TISSUE
CC960C25-E7AE-4EDB-AEEC-80B21CD2A7C2,TISSUE
1D3C0C08-AA86-4857-879E-110DA5E35B77,TISSUE
810FC459-F77D-462D-90B7-E77C1FD43981,TISSUE
735C0AD9-1788-4FA8-9373-BAF2DDFFA15E,TISSUE
92298FF7-1215-4756-B976-A7D88B91AD76,TISSUE
A09B67EF-16D1-4D54-8C46-CBBFC3236FDC,TISSUE
AD3C7545-0986-4121-BD6B-491D7F519962,TISSUE
5C292E37-1386-4928-B9EA-EA077528CDFD,TISSUE
AE4887D1-578B-4258-9B1B-715FD9C2B43A,TISSUE
AB6C1203-4D5D-484A-ABD9-9B333017B1ED,TISSUE
1562153C-AC2E-4094-A936-75CC580367A9,TISSUE
87ABB098-8C1E-4677-8C31-48B71EFE41C7,TISSUE
92A04345-2DCA-49F5-801F-926B59255925,TISSUE
C3B7657E-B340-4808-86D9-277E661D48DD,TISSUE
122D1D3C-8C13-4BFF-A135-2A308C6A9483,TISSUE
8709CFA2-0F90-4A18-B5EF-56D1D60A7947,TISSUE
D021A258-8713-4383-9DCA-45E2F54A0411,TISSUE
C705FA90-D9AA-4949-BACA-1C022A14CB03,TISSUE
85380A2D-9951-4D4B-A2A4-6F5F2AFC54E3,TISSUE
D02E5786-8F3A-4D3F-A8EB-4FC5926A12DA,TISSUE
F53A9C63-1AF7-4CBC-B8B7-4AA7AAED3364,TISSUE
81411BA8-D178-4AAC-B270-00B5D79802FA,TISSUE
A74E06DC-472F-4D36-A45E-D040820F4D4E,TISSUE
BF0F538C-A405-4FAE-AD61-17E38732F4A1,TISSUE
E3821F0E-BD25-4A59-92B9-8D79261C643A,TISSUE
13EF5323-EAD9-4BC7-8AC4-33875BF12E17,TISSUE
88860792-6084-41DF-B3A1-7D36A2502B5A,TISSUE
82E7E988-A12F-425C-B363-CB3559F49F0F,TISSUE
87117BE1-D328-4972-85DA-6672412D8860,TISSUE
71A0AB6A-CFC2-46F6-878C-6052C5B43D22,TISSUE
72189C87-53DD-427E-B163-91E404577A7A,TISSUE
27496AAB-AC06-4100-BB41-0029F63CC678,TISSUE
58305698-457F-4E9D-A27D-7B8F98491411,TISSUE
AC25E68C-76EA-40E0-912F-29C632BC0996,TISSUE
E502A171-ED36-4646-903D-06ADFA703490,TISSUE
079EACA1-0319-4B54-B20B-673F4576C69D,TISSUE
BACA9F84-971B-43B5-834F-8C524D378998,TISSUE
8415842D-D450-49EE-ADAB-AEBEAE7CA33B,TISSUE
861C68D3-DAA8-45B3-8769-FC59E237A5BF,TISSUE
B5567E00-32AA-48D8-8087-1088C22B0994,TISSUE
8BC036E8-0EA0-4346-A551-2A5F8975FEAB,TISSUE
443B751F-4F0B-45A1-BC83-24E446E8E573,TISSUE
7E4D42B3-FD9B-4184-A4A0-E52E45259428,TISSUE
2A0A7DE1-AD34-408C-9EBF-F2ED2B8427F7,TISSUE
3BBC7540-136B-47C8-9C09-CD423685B742,TISSUE
EFC730EC-6385-4167-A65A-F2A3AAEDA2AC,TISSUE
E79FE058-F03E-45F3-A939-356B0427E1B7,TISSUE
0E244FE2-7C17-4642-A51F-2CCA796D9C70,TISSUE
0999A56B-C2FA-4970-8542-D1ABDD5166BE,TISSUE
1B2EC3E0-16A7-4F82-A123-B85A2CE01E63,TISSUE
622A8E32-1738-4F33-9108-39573001E650,TISSUE
82DA87CF-C067-44B3-A372-ECB056337B08,TISSUE
4B3D8B07-8B44-45F3-BE30-A0B6EDBF8265,TISSUE
8839B692-AC8F-4A1D-B94B-473B1BBF448B,TISSUE
38F5957E-0A99-432D-8F0B-B48E03F17668,TISSUE
0797DC35-6243-451D-9653-9649D390C0F4,TISSUE
8A9C0B95-4830-45C3-A596-75C2F22CFA14,TISSUE
